Temporada,Rodada,Mandante,Visitante,Mandante Placar,Visitante Placar
2008,15,flamengo,botafogo-rj,0,0
2008,15,fluminense,cruzeiro,1,3
2008,15,goiás,sport,1,2
2008,15,grêmio,palmeiras,1,1
2008,15,ipatinga,internacional,1,0
2008,15,náutico,coritiba,1,2
2008,15,santos,vasco,5,2
2008,15,são paulo,portuguesa,3,1
2008,16,botafogo-rj,goiás,2,0
2008,16,coritiba,grêmio,0,1
2008,16,cruzeiro,náutico,4,2
2008,16,figueirense,são paulo,1,1
2008,16,internacional,santos,0,1
2008,16,palmeiras,flamengo,1,0
2008,16,portuguesa,fluminense,3,1
2008,16,sport,ipatinga,3,1
2008,16,vasco,atlético-mg,6,1
2008,16,vitória,athlético-pr,2,1
2008,17,athlético-pr,botafogo-rj,0,3
2008,17,atlético-mg,sport,2,1
2008,17,flamengo,cruzeiro,1,2
2008,17,fluminense,internacional,1,2
2008,17,goiás,portuguesa,4,0
2008,17,grêmio,vitória,2,0
2008,17,ipatinga,palmeiras,1,2
2008,17,náutico,figueirense,1,2
2008,17,santos,coritiba,1,3
2008,17,são paulo,vasco,4,0
2008,18,athlético-pr,náutico,2,0
2008,18,cruzeiro,internacional,2,0
2008,18,figueirense,botafogo-rj,1,2
2008,18,fluminense,são paulo,3,1
2008,18,goiás,flamengo,2,1
2008,18,grêmio,ipatinga,1,0
2008,18,palmeiras,vitória,3,0
2008,18,santos,atlético-mg,2,3
2008,18,sport,portuguesa,2,0
2008,18,vasco,coritiba,0,2
2008,19,atlético-mg,grêmio,0,4
2008,19,botafogo-rj,palmeiras,1,0
2008,19,coritiba,sport,3,0
2008,19,flamengo,athlético-pr,1,0
2008,19,internacional,figueirense,1,1
2008,19,ipatinga,fluminense,2,1
2008,19,náutico,santos,1,0
2008,19,portuguesa,cruzeiro,2,1
2008,19,são paulo,goiás,2,1
2008,19,vitória,vasco,5,0
2008,20,athlético-pr,ipatinga,5,0
2008,20,cruzeiro,vitória,2,1
2008,20,figueirense,portuguesa,2,1
2008,20,fluminense,atlético-mg,1,0
2008,20,goiás,náutico,3,0
2008,20,grêmio,são paulo,1,0
2008,20,palmeiras,coritiba,1,0
2008,20,santos,flamengo,2,2
2008,20,sport,botafogo-rj,0,1
2008,20,vasco,internacional,4,0
2008,21,atlético-mg,goiás,1,1
2008,21,botafogo-rj,cruzeiro,1,0
2008,21,coritiba,figueirense,3,0
2008,21,flamengo,grêmio,2,1
2008,21,internacional,palmeiras,4,1
2008,21,ipatinga,santos,1,1
2008,21,náutico,fluminense,1,3
2008,21,portuguesa,vasco,0,1
2008,21,são paulo,athlético-pr,3,1
2008,21,vitória,sport,0,0
2008,22,atlético-mg,athlético-pr,4,0
2008,22,coritiba,são paulo,2,2
2008,22,figueirense,vitória,1,2
2008,22,fluminense,sport,1,1
2008,22,internacional,flamengo,1,1
2008,22,ipatinga,goiás,1,0
2008,22,náutico,grêmio,1,1
2008,22,palmeiras,portuguesa,4,2
2008,22,santos,cruzeiro,2,0
2008,22,vasco,botafogo-rj,1,1
2008,23,athlético-pr,palmeiras,1,2
2008,23,botafogo-rj,náutico,1,1
2008,23,cruzeiro,coritiba,1,1
2008,23,flamengo,fluminense,2,2
2008,23,goiás,figueirense,2,0
2008,23,grêmio,vasco,2,1
2008,23,portuguesa,atlético-mg,1,1
2008,23,sport,internacional,1,0
2008,23,são paulo,santos,0,0
2008,23,vitória,ipatinga,0,0
2008,24,atlético-mg,são paulo,1,1
2008,24,coritiba,botafogo-rj,0,1
2008,24,figueirense,flamengo,2,3
2008,24,fluminense,grêmio,0,0
2008,24,goiás,athlético-pr,4,0
2008,24,internacional,portuguesa,1,0
2008,24,náutico,ipatinga,2,0
2008,24,palmeiras,sport,0,3
2008,24,santos,vitória,2,0
2008,24,vasco,cruzeiro,1,3
2008,25,athlético-pr,portuguesa,2,0
2008,25,botafogo-rj,internacional,1,2
2008,25,cruzeiro,palmeiras,0,1
2008,25,grêmio,goiás,1,2
2008,25,ipatinga,atlético-mg,3,2
2008,25,santos,fluminense,2,1
2008,25,sport,figueirense,5,0
2008,25,são paulo,flamengo,2,0
2008,25,vasco,náutico,1,3
2008,25,vitória,coritiba,1,0
2008,26,athlético-pr,grêmio,0,0
2008,26,atlético-mg,náutico,2,1
2008,26,figueirense,cruzeiro,3,4
2008,26,flamengo,ipatinga,1,0
2008,26,fluminense,coritiba,2,3
2008,26,goiás,santos,4,1
2008,26,internacional,vitória,1,0
2008,26,palmeiras,vasco,2,0
2008,26,portuguesa,botafogo-rj,3,1
2008,26,sport,são paulo,0,0
2008,27,atlético-mg,figueirense,0,0
2008,27,botafogo-rj,fluminense,1,1
2008,27,coritiba,athlético-pr,1,1
2008,27,flamengo,sport,2,1
2008,27,goiás,vitória,3,0
2008,27,internacional,grêmio,4,1
2008,27,ipatinga,vasco,3,1
2008,27,náutico,palmeiras,0,0
2008,27,santos,portuguesa,1,1
2008,27,são paulo,cruzeiro,2,0
2008,28,coritiba,internacional,4,2
2008,28,cruzeiro,sport,1,0
2008,28,fluminense,goiás,1,1
2008,28,grêmio,botafogo-rj,2,1
2008,28,ipatinga,são paulo,1,3
2008,28,náutico,flamengo,0,2
2008,28,palmeiras,atlético-mg,3,1
2008,28,santos,athlético-pr,4,0
2008,28,vasco,figueirense,2,4
2008,28,vitória,portuguesa,3,1
2008,29,athlético-pr,fluminense,1,3
2008,29,botafogo-rj,vitória,3,1
2008,29,cruzeiro,ipatinga,1,0
2008,29,figueirense,palmeiras,0,0
2008,29,flamengo,atlético-mg,0,3
2008,29,goiás,internacional,1,1
2008,29,grêmio,santos,2,0
2008,29,portuguesa,coritiba,0,0
2008,29,sport,vasco,2,2
2008,29,são paulo,náutico,1,0
2008,30,atlético-mg,cruzeiro,0,2
2008,30,botafogo-rj,santos,0,1
2008,30,coritiba,goiás,1,1
2008,30,figueirense,ipatinga,1,1
2008,30,internacional,athlético-pr,2,1
2008,30,palmeiras,são paulo,2,2
2008,30,portuguesa,grêmio,2,0
2008,30,sport,náutico,2,2
2008,30,vasco,flamengo,0,1
2008,30,vitória,fluminense,2,2
2008,31,athlético-pr,cruzeiro,1,0
2008,31,atlético-mg,internacional,2,2
2008,31,flamengo,coritiba,5,0
2008,31,fluminense,palmeiras,3,0
2008,31,goiás,vasco,2,4
