,Time,Temporada,Rodada,Adversario,Vencedor,Mando_de_campo,Mandante Placar,Visitante Placar,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
2819,américa-mg,2011,27,palmeiras,-,-1,1,1,0,20,3,13,11,33,49,-16,0,0,3,-8
2820,corinthians,2011,28,atlético-go,corinthians,1,3,0,0,51,15,7,6,42,28,14,1,0,3,1
2821,vasco,2011,28,internacional,internacional,-1,3,0,0,50,14,6,8,43,33,10,0,1,-1,-2
2822,são paulo,2011,28,cruzeiro,-,-1,3,3,0,47,13,7,8,45,35,10,0,0,3,-3
2823,flamengo,2011,28,fluminense,flamengo,1,3,2,0,47,12,5,11,47,37,10,3,0,9,-9
2824,botafogo-rj,2011,28,bahia,-,1,2,2,0,46,13,8,7,42,34,8,0,0,1,-4
2825,fluminense,2011,28,flamengo,flamengo,-1,3,2,0,44,14,12,2,39,36,3,0,1,4,-5
2826,internacional,2011,28,vasco,internacional,1,3,0,0,43,11,7,10,46,35,11,1,0,1,1
2827,santos,2011,28,palmeiras,santos,1,1,0,0,41,12,11,5,41,41,0,1,0,12,1
2828,coritiba,2011,28,grêmio,coritiba,1,2,0,0,40,11,10,7,46,34,12,1,0,1,1
2829,palmeiras,2011,28,santos,santos,-1,1,0,0,40,9,6,13,33,27,6,0,1,-1,-3
2830,grêmio,2011,28,coritiba,coritiba,-1,2,0,0,39,11,11,6,32,35,-3,0,1,-1,-1
2831,atlético-go,2011,28,corinthians,corinthians,-1,3,0,0,38,10,10,8,34,32,2,0,1,-1,-1
2832,figueirense,2011,28,ceará,-,-1,1,1,0,38,9,8,11,33,34,-1,0,0,1,-1
2833,bahia,2011,28,botafogo-rj,-,-1,2,2,0,34,8,10,10,34,37,-3,0,0,2,-3
2834,ceará,2011,28,figueirense,-,1,1,1,0,32,8,12,8,35,46,-11,0,0,3,-9
2835,cruzeiro,2011,28,são paulo,-,1,3,3,0,30,8,14,6,34,38,-4,0,0,1,-4
2836,atlético-mg,2011,28,américa-mg,-,-1,0,0,0,27,7,15,6,33,45,-12,0,0,-1,-3
2837,athlético-pr,2011,28,avaí,avaí,-1,3,0,0,27,6,13,9,27,41,-14,0,1,-1,-1
2838,avaí,2011,28,athlético-pr,avaí,1,3,0,0,25,6,15,7,35,57,-22,1,0,7,1
2839,américa-mg,2011,28,atlético-mg,-,1,0,0,0,21,3,13,12,33,49,-16,0,0,-1,1
2840,corinthians,2011,29,botafogo-rj,botafogo-rj,1,0,2,0,51,15,8,6,42,30,12,0,1,-1,-1
2841,vasco,2011,29,athlético-pr,-,-1,2,2,0,51,14,6,9,45,35,10,0,0,1,-3
2842,botafogo-rj,2011,29,corinthians,botafogo-rj,-1,0,2,0,49,14,8,7,44,34,10,1,0,2,-3
2843,são paulo,2011,29,internacional,-,1,0,0,0,48,13,7,9,45,35,10,0,0,-1,1
2844,flamengo,2011,29,palmeiras,-,1,1,1,0,48,12,5,12,48,38,10,0,0,10,-10
2845,fluminense,2011,29,coritiba,fluminense,1,3,1,0,47,15,12,2,42,37,5,1,0,5,-6
2846,internacional,2011,29,são paulo,-,-1,0,0,0,44,11,7,11,46,35,11,0,0,-1,1
2847,santos,2011,29,atlético-mg,atlético-mg,-1,2,1,0,41,12,12,5,42,43,-1,0,1,13,-1
2848,figueirense,2011,29,grêmio,figueirense,-1,1,3,0,41,10,8,11,36,35,1,1,0,2,-2
2849,palmeiras,2011,29,flamengo,-,-1,1,1,0,41,9,6,14,34,28,6,0,0,1,-4
2850,coritiba,2011,29,fluminense,fluminense,-1,3,1,0,40,11,11,7,47,37,10,0,1,2,-1
2851,grêmio,2011,29,figueirense,figueirense,1,1,3,0,39,11,12,6,33,38,-5,0,2,1,-2
2852,atlético-go,2011,29,avaí,-,-1,2,2,0,39,10,10,9,36,34,2,0,0,1,-2
2853,bahia,2011,29,cruzeiro,-,1,0,0,0,35,8,10,11,34,37,-3,0,0,-1,1
2854,ceará,2011,29,américa-mg,américa-mg,-1,4,1,0,32,8,13,8,36,50,-14,0,1,4,-10
2855,cruzeiro,2011,29,bahia,-,-1,0,0,0,31,8,14,7,34,38,-4,0,0,-1,-3
2856,atlético-mg,2011,29,santos,atlético-mg,1,2,1,0,30,8,15,6,35,46,-11,1,0,1,-4
2857,athlético-pr,2011,29,vasco,-,1,2,2,0,28,6,13,10,29,43,-14,0,0,1,-2
2858,avaí,2011,29,atlético-go,-,1,2,2,0,26,6,15,8,37,59,-22,0,0,8,-1
2859,américa-mg,2011,29,ceará,américa-mg,1,4,1,0,24,4,13,12,37,50,-13,1,0,1,-1
2860,corinthians,2011,30,cruzeiro,corinthians,-1,0,1,0,54,16,8,6,43,30,13,1,0,1,0
2861,vasco,2011,30,atlético-mg,vasco,1,2,0,0,54,15,6,9,47,35,12,1,0,2,1
2862,botafogo-rj,2011,30,athlético-pr,botafogo-rj,1,2,0,0,52,15,8,7,46,34,12,2,0,3,1
2863,flamengo,2011,30,ceará,flamengo,-1,0,1,0,51,13,5,12,49,38,11,1,0,11,-9
2864,fluminense,2011,30,palmeiras,fluminense,-1,1,2,0,50,16,12,2,44,38,6,2,0,6,-7
2865,são paulo,2011,30,atlético-go,atlético-go,-1,3,0,0,48,13,8,9,45,38,7,0,1,-2,-1
2866,internacional,2011,30,avaí,internacional,1,4,2,0,47,12,7,11,50,37,13,1,0,1,-1
2867,figueirense,2011,30,américa-mg,figueirense,1,2,1,0,44,11,8,11,38,36,2,2,0,3,-3
2868,grêmio,2011,30,santos,grêmio,-1,0,1,0,42,12,12,6,34,38,-4,1,0,2,-1
2869,atlético-go,2011,30,são paulo,atlético-go,1,3,0,0,42,11,10,9,39,34,5,1,0,2,1
2870,santos,2011,30,grêmio,grêmio,1,0,1,0,41,12,13,5,42,44,-2,0,2,-1,-2
2871,coritiba,2011,30,bahia,-,1,0,0,0,41,11,11,8,47,37,10,0,0,-1,1
2872,palmeiras,2011,30,fluminense,fluminense,1,1,2,0,41,9,7,14,35,30,5,0,1,2,-5
2873,bahia,2011,30,coritiba,-,-1,0,0,0,36,8,10,12,34,37,-3,0,0,-2,1
2874,ceará,2011,30,flamengo,flamengo,1,0,1,0,32,8,14,8,36,51,-15,0,2,-1,-11
2875,cruzeiro,2011,30,corinthians,corinthians,1,0,1,0,31,8,15,7,34,39,-5,0,1,-2,-4
2876,atlético-mg,2011,30,vasco,vasco,-1,2,0,0,30,8,16,6,35,48,-13,0,1,-1,-5
2877,athlético-pr,2011,30,botafogo-rj,botafogo-rj,-1,2,0,0,28,6,14,10,29,45,-16,0,1,-1,-3
2878,avaí,2011,30,internacional,internacional,-1,4,2,0,26,6,16,8,39,63,-24,0,1,9,-2
2879,américa-mg,2011,30,figueirense,figueirense,-1,2,1,0,24,4,14,12,38,52,-14,0,1,2,-2
2880,vasco,2011,31,bahia,vasco,-1,0,2,0,57,16,6,9,49,35,14,2,0,3,1
2881,corinthians,2011,31,internacional,-,-1,1,1,0,55,16,8,7,44,31,13,0,0,2,-1
2882,botafogo-rj,2011,31,avaí,avaí,-1,3,2,0,52,15,9,7,48,37,11,0,1,4,-1
2883,flamengo,2011,31,santos,-,1,1,1,0,52,13,5,13,50,39,11,0,0,12,-10
2884,fluminense,2011,31,atlético-mg,atlético-mg,1,0,2,0,50,16,13,2,44,40,4,0,1,-1,-8
2885,são paulo,2011,31,coritiba,-,1,0,0,0,49,13,8,10,45,38,7,0,0,-3,1
2886,internacional,2011,31,corinthians,-,1,1,1,0,48,12,7,12,51,38,13,0,0,2,-2
2887,figueirense,2011,31,palmeiras,figueirense,-1,1,2,0,47,12,8,11,40,37,3,3,0,4,-4
2888,grêmio,2011,31,américa-mg,-,-1,2,2,0,43,12,12,7,36,40,-4,0,0,3,-2
2889,santos,2011,31,flamengo,-,-1,1,1,0,42,12,13,6,43,45,-2,0,0,1,-3
2890,coritiba,2011,31,são paulo,-,-1,0,0,0,42,11,11,9,47,37,10,0,0,-2,1
2891,atlético-go,2011,31,cruzeiro,cruzeiro,-1,3,2,0,42,11,11,9,41,37,4,0,1,3,-1
2892,palmeiras,2011,31,figueirense,figueirense,1,1,2,0,41,9,8,14,36,32,4,0,2,3,-6
2893,bahia,2011,31,vasco,vasco,1,0,2,0,36,8,11,12,34,39,-5,0,1,-3,-1
2894,cruzeiro,2011,31,atlético-go,cruzeiro,1,3,2,0,34,9,15,7,37,41,-4,1,0,1,-5
2895,atlético-mg,2011,31,fluminense,atlético-mg,-1,0,2,0,33,9,16,6,37,48,-11,1,0,1,-4
2896,ceará,2011,31,athlético-pr,athlético-pr,-1,1,0,0,32,8,15,8,36,52,-16,0,3,-2,-12
2897,athlético-pr,2011,31,ceará,athlético-pr,1,1,0,0,31,7,14,10,30,45,-15,1,0,1,1
2898,avaí,2011,31,botafogo-rj,avaí,1,3,2,0,29,7,16,8,42,65,-23,1,0,10,-3
2899,américa-mg,2011,31,grêmio,-,1,2,2,0,25,4,14,13,40,54,-14,0,0,3,-3
2900,corinthians,2011,32,avaí,corinthians,1,2,1,0,58,17,8,7,46,32,14,1,0,3,-2
2901,vasco,2011,32,são paulo,-,1,0,0,0,58,16,6,10,49,35,14,0,0,-1,1
2902,botafogo-rj,2011,32,cruzeiro,botafogo-rj,1,1,0,0,55,16,9,7,49,37,12,1,0,5,1
2903,fluminense,2011,32,ceará,fluminense,-1,1,2,0,53,17,13,2,46,41,5,1,0,1,-9
2904,flamengo,2011,32,grêmio,grêmio,-1,4,2,0,52,13,6,13,52,43,9,0,1,13,-11
2905,internacional,2011,32,atlético-go,internacional,-1,0,1,0,51,13,7,12,52,38,14,1,0,3,-1
2906,são paulo,2011,32,vasco,-,-1,0,0,0,50,13,8,11,45,38,7,0,0,-4,1
2907,figueirense,2011,32,bahia,figueirense,1,2,1,0,50,13,8,11,42,38,4,4,0,5,-5
2908,grêmio,2011,32,flamengo,grêmio,1,4,2,0,46,13,12,7,40,42,-2,1,0,4,-3
2909,santos,2011,32,athlético-pr,santos,1,4,1,0,45,13,13,6,47,46,1,1,0,2,-4
2910,coritiba,2011,32,américa-mg,coritiba,1,3,1,0,45,12,11,9,50,38,12,1,0,1,-1
2911,atlético-go,2011,32,internacional,internacional,1,0,1,0,42,11,12,9,41,38,3,0,2,-1,-2
2912,palmeiras,2011,32,atlético-mg,atlético-mg,-1,2,1,0,41,9,9,14,37,34,3,0,3,4,-7
2913,atlético-mg,2011,32,palmeiras,atlético-mg,1,2,1,0,36,10,16,6,39,49,-10,2,0,2,-5
2914,bahia,2011,32,figueirense,figueirense,-1,2,1,0,36,8,12,12,35,41,-6,0,2,1,-2
2915,cruzeiro,2011,32,botafogo-rj,botafogo-rj,-1,1,0,0,34,9,16,7,37,42,-5,0,1,-1,-6
2916,ceará,2011,32,fluminense,fluminense,1,1,2,0,32,8,16,8,37,54,-17,0,4,1,-13
2917,athlético-pr,2011,32,santos,santos,-1,4,1,0,31,7,15,10,31,49,-18,0,1,2,-1
2918,avaí,2011,32,corinthians,corinthians,-1,2,1,0,29,7,17,8,43,67,-24,0,1,11,-4
2919,américa-mg,2011,32,coritiba,coritiba,-1,3,1,0,25,4,15,13,41,57,-16,0,1,4,-4
2920,corinthians,2011,33,américa-mg,américa-mg,-1,2,1,0,58,17,9,7,47,34,13,0,1,4,-3
2921,vasco,2011,33,santos,santos,-1,2,0,0,58,16,7,10,49,37,12,0,1,-2,-1
2922,fluminense,2011,33,internacional,fluminense,-1,1,2,0,56,18,13,2,48,42,6,2,0,2,-10
2923,botafogo-rj,2011,33,figueirense,figueirense,1,0,1,0,55,16,10,7,49,38,11,0,1,-1,-1
2924,flamengo,2011,33,cruzeiro,flamengo,1,5,1,0,55,14,6,13,57,44,13,1,0,14,-12
2925,figueirense,2011,33,botafogo-rj,figueirense,-1,0,1,0,53,14,8,11,43,38,5,5,0,6,-4
2926,internacional,2011,33,fluminense,fluminense,1,1,2,0,51,13,8,12,53,40,13,0,1,4,-2
2927,são paulo,2011,33,bahia,bahia,-1,4,3,0,50,13,9,11,48,42,6,0,1,1,-1
2928,santos,2011,33,vasco,santos,1,2,0,0,48,14,13,6,49,46,3,2,0,3,1
2929,coritiba,2011,33,palmeiras,coritiba,-1,0,2,0,48,13,11,9,52,38,14,2,0,2,0
2930,grêmio,2011,33,atlético-mg,atlético-mg,-1,2,0,0,46,13,13,7,40,44,-4,0,1,-1,-4
2931,atlético-go,2011,33,athlético-pr,athlético-pr,-1,2,1,0,42,11,13,9,42,40,2,0,3,1,-3
2932,palmeiras,2011,33,coritiba,coritiba,1,0,2,0,41,9,10,14,37,36,1,0,4,-1,-8
2933,atlético-mg,2011,33,grêmio,atlético-mg,1,2,0,0,39,11,16,6,41,49,-8,3,0,3,1
2934,bahia,2011,33,são paulo,bahia,1,4,3,0,39,9,12,12,39,44,-5,1,0,2,-3
2935,ceará,2011,33,avaí,ceará,-1,1,2,0,35,9,16,8,39,55,-16,1,0,2,-14
2936,cruzeiro,2011,33,flamengo,flamengo,-1,5,1,0,34,9,17,7,38,47,-9,0,2,1,-7
2937,athlético-pr,2011,33,atlético-go,athlético-pr,1,2,1,0,34,8,15,10,33,50,-17,1,0,3,-2
2938,avaí,2011,33,ceará,ceará,1,1,2,0,29,7,18,8,44,69,-25,0,2,12,-5
2939,américa-mg,2011,33,corinthians,américa-mg,1,2,1,0,28,5,15,13,43,58,-15,1,0,5,-5
2940,corinthians,2011,34,athlético-pr,corinthians,1,2,1,0,61,18,9,7,49,35,14,1,0,5,-4
2941,vasco,2011,34,botafogo-rj,vasco,1,2,0,0,61,17,7,10,51,37,14,1,0,1,1
2942,fluminense,2011,34,américa-mg,américa-mg,1,1,2,0,56,18,14,2,49,44,5,0,1,3,-11
2943,figueirense,2011,34,atlético-mg,figueirense,1,2,1,0,56,15,8,11,45,39,6,6,0,7,-5
2944,botafogo-rj,2011,34,vasco,vasco,-1,2,0,0,55,16,11,7,49,40,9,0,2,-2,-2
2945,flamengo,2011,34,coritiba,coritiba,-1,2,0,0,55,14,7,13,57,46,11,0,1,-1,-13
2946,são paulo,2011,34,avaí,são paulo,1,2,0,0,53,14,9,11,50,42,8,1,0,2,1
2947,santos,2011,34,ceará,santos,-1,2,3,0,51,15,13,6,52,48,4,3,0,4,-1
2948,coritiba,2011,34,flamengo,coritiba,1,2,0,0,51,14,11,9,54,38,16,3,0,3,1
2949,internacional,2011,34,cruzeiro,cruzeiro,-1,1,0,0,51,13,9,12,53,41,12,0,2,-1,-3
2950,grêmio,2011,34,palmeiras,-,1,2,2,0,47,13,13,8,42,46,-4,0,0,1,-5
2951,atlético-go,2011,34,bahia,bahia,1,0,1,0,42,11,14,9,42,41,1,0,4,-1,-4
2952,bahia,2011,34,atlético-go,bahia,-1,0,1,0,42,10,12,12,40,44,-4,2,0,3,-2
2953,palmeiras,2011,34,grêmio,-,-1,2,2,0,42,9,10,15,39,38,1,0,0,1,-9
2954,atlético-mg,2011,34,figueirense,figueirense,-1,2,1,0,39,11,17,6,42,51,-9,0,1,4,-1
2955,cruzeiro,2011,34,internacional,cruzeiro,1,1,0,0,37,10,17,7,39,47,-8,1,0,2,1
2956,ceará,2011,34,santos,santos,1,2,3,0,35,9,17,8,41,58,-17,0,1,3,-15
2957,athlético-pr,2011,34,corinthians,corinthians,-1,2,1,0,34,8,16,10,34,52,-18,0,1,4,-3
2958,américa-mg,2011,34,fluminense,américa-mg,-1,1,2,0,31,6,15,13,45,59,-14,2,0,6,-6
2959,avaí,2011,34,são paulo,são paulo,-1,2,0,0,29,7,19,8,44,71,-27,0,3,-1,-6
2960,corinthians,2011,35,ceará,corinthians,-1,0,1,0,64,19,9,7,50,35,15,2,0,6,-3
2961,vasco,2011,35,palmeiras,-,-1,1,1,0,62,17,7,11,52,38,14,0,0,2,-1
2962,fluminense,2011,35,grêmio,fluminense,1,5,4,0,59,19,14,2,54,48,6,1,0,4,-12
2963,figueirense,2011,35,flamengo,-,-1,0,0,0,57,15,8,12,45,39,6,0,0,-1,-4
2964,flamengo,2011,35,figueirense,-,1,0,0,0,56,14,7,14,57,46,11,0,0,-2,1
2965,botafogo-rj,2011,35,américa-mg,américa-mg,-1,2,1,0,55,16,12,7,50,42,8,0,3,1,-3
2966,internacional,2011,35,bahia,internacional,1,1,0,0,54,14,9,12,54,41,13,1,0,1,1
2967,são paulo,2011,35,athlético-pr,athlético-pr,-1,1,0,0,53,14,10,11,50,43,7,0,1,-1,-1
2968,santos,2011,35,atlético-go,-,1,1,1,0,52,15,13,7,53,49,4,0,0,5,-2
2969,coritiba,2011,35,atlético-mg,atlético-mg,-1,2,1,0,51,14,12,9,55,40,15,0,1,4,-1
2970,grêmio,2011,35,fluminense,fluminense,-1,5,4,0,47,13,14,8,46,51,-5,0,1,2,-6
2971,atlético-go,2011,35,santos,-,-1,1,1,0,43,11,14,10,43,42,1,0,0,1,-5
2972,palmeiras,2011,35,vasco,-,1,1,1,0,43,9,10,16,40,39,1,0,0,2,-10
2973,atlético-mg,2011,35,coritiba,atlético-mg,1,2,1,0,42,12,17,6,44,52,-8,1,0,5,-2
2974,bahia,2011,35,internacional,internacional,-1,1,0,0,42,10,13,12,40,45,-5,0,1,-1,-3
2975,cruzeiro,2011,35,avaí,-,-1,0,0,0,38,10,17,8,39,47,-8,0,0,-1,1
2976,athlético-pr,2011,35,são paulo,athlético-pr,1,1,0,0,37,9,16,10,35,52,-17,1,0,5,1
2977,ceará,2011,35,corinthians,corinthians,1,0,1,0,35,9,18,8,41,59,-18,0,2,-1,-16
2978,américa-mg,2011,35,botafogo-rj,américa-mg,1,2,1,0,34,7,15,13,47,60,-13,3,0,7,-7
2979,avaí,2011,35,cruzeiro,-,1,0,0,0,30,7,19,9,44,71,-27,0,0,-2,1
2980,corinthians,2011,36,atlético-mg,corinthians,1,2,1,0,67,20,9,7,52,36,16,3,0,7,-4
2981,vasco,2011,36,avaí,vasco,1,2,0,0,65,18,7,11,54,38,16,1,0,3,1
2982,fluminense,2011,36,figueirense,fluminense,-1,0,4,0,62,20,14,2,58,48,10,2,0,5,-11
2983,internacional,2011,36,botafogo-rj,internacional,-1,1,2,0,57,15,9,12,56,42,14,2,0,2,-1
2984,figueirense,2011,36,fluminense,fluminense,1,0,4,0,57,15,9,12,45,43,2,0,1,-2,-5
2985,flamengo,2011,36,atlético-go,-,-1,0,0,0,57,14,7,15,57,46,11,0,0,-3,1
2986,são paulo,2011,36,américa-mg,são paulo,1,3,1,0,56,15,10,11,53,44,9,1,0,1,-2
2987,botafogo-rj,2011,36,internacional,internacional,1,1,2,0,55,16,13,7,51,44,7,0,4,2,-4
2988,coritiba,2011,36,santos,coritiba,1,1,0,0,54,15,12,9,56,40,16,1,0,5,1
2989,santos,2011,36,coritiba,coritiba,-1,1,0,0,52,15,14,7,53,50,3,0,1,-1,-3
2990,grêmio,2011,36,ceará,ceará,1,1,3,0,47,13,15,8,47,54,-7,0,2,3,-7
2991,palmeiras,2011,36,bahia,palmeiras,-1,0,2,0,46,10,10,16,42,39,3,1,0,3,-9
2992,atlético-go,2011,36,flamengo,-,1,0,0,0,44,11,14,11,43,42,1,0,0,-1,1
2993,atlético-mg,2011,36,corinthians,corinthians,-1,2,1,0,42,12,18,6,45,54,-9,0,1,6,-3
2994,bahia,2011,36,palmeiras,palmeiras,1,0,2,0,42,10,14,12,40,47,-7,0,2,-2,-4
2995,cruzeiro,2011,36,athlético-pr,-,1,1,1,0,39,10,17,9,40,48,-8,0,0,1,-1
2996,ceará,2011,36,grêmio,ceará,-1,1,3,0,38,10,18,8,44,60,-16,1,0,1,-17
2997,athlético-pr,2011,36,cruzeiro,-,-1,1,1,0,38,9,16,11,36,53,-17,0,0,6,-1
2998,américa-mg,2011,36,são paulo,são paulo,-1,3,1,0,34,7,16,13,48,63,-15,0,1,8,-8
2999,avaí,2011,36,vasco,vasco,-1,2,0,0,30,7,20,9,44,73,-29,0,1,-3,-1
3000,corinthians,2011,37,figueirense,corinthians,-1,0,1,0,70,21,9,7,53,36,17,4,0,8,-3
3001,vasco,2011,37,fluminense,vasco,-1,1,2,0,68,19,7,11,56,39,17,2,0,4,-1
3002,fluminense,2011,37,vasco,vasco,1,1,2,0,62,20,15,2,59,50,9,0,1,6,-12
3003,flamengo,2011,37,internacional,flamengo,1,1,0,0,60,15,7,15,58,46,12,1,0,1,1
3004,coritiba,2011,37,avaí,coritiba,1,1,0,0,57,16,12,9,57,40,17,2,0,6,1
3005,internacional,2011,37,flamengo,flamengo,-1,1,0,0,57,15,10,12,56,43,13,0,1,-1,-2
3006,figueirense,2011,37,corinthians,corinthians,1,0,1,0,57,15,10,12,45,44,1,0,2,-3,-6
3007,são paulo,2011,37,palmeiras,palmeiras,-1,1,0,0,56,15,11,11,53,45,8,0,1,-1,-3
3008,botafogo-rj,2011,37,atlético-mg,atlético-mg,-1,4,0,0,55,16,14,7,51,48,3,0,5,-1,-5
3009,santos,2011,37,bahia,-,1,1,1,0,53,15,14,8,54,51,3,0,0,1,-4
3010,palmeiras,2011,37,são paulo,palmeiras,1,1,0,0,49,11,10,16,43,39,4,2,0,4,1
3011,grêmio,2011,37,atlético-go,-,1,2,2,0,48,13,15,9,49,56,-7,0,0,4,-8
3012,atlético-mg,2011,37,botafogo-rj,atlético-mg,1,4,0,0,45,13,18,6,49,54,-5,1,0,7,1
3013,atlético-go,2011,37,grêmio,-,-1,2,2,0,45,11,14,12,45,44,1,0,0,1,-1
3014,bahia,2011,37,santos,-,-1,1,1,0,43,10,14,13,41,48,-7,0,0,1,-5
3015,cruzeiro,2011,37,ceará,-,-1,2,2,0,40,10,17,10,42,50,-8,0,0,2,-2
3016,ceará,2011,37,cruzeiro,-,1,2,2,0,39,10,18,9,46,62,-16,0,0,2,-18
3017,athlético-pr,2011,37,américa-mg,américa-mg,-1,2,1,0,38,9,17,11,37,55,-18,0,1,7,-2
3018,américa-mg,2011,37,athlético-pr,américa-mg,1,2,1,0,37,8,16,13,50,64,-14,1,0,9,-9
3019,avaí,2011,37,coritiba,coritiba,-1,1,0,0,30,7,21,9,44,74,-30,0,2,-4,-2
3020,corinthians,2011,38,palmeiras,-,1,0,0,1,71,21,9,8,53,36,17,0,0,-1,1
3021,vasco,2011,38,flamengo,-,1,1,1,2,69,19,7,12,57,40,17,0,0,5,-2
3022,fluminense,2011,38,botafogo-rj,-,-1,1,1,3,63,20,15,3,60,51,9,0,0,7,-13
3023,flamengo,2011,38,vasco,-,-1,1,1,4,61,15,7,16,59,47,12,0,0,2,-1
3024,internacional,2011,38,grêmio,internacional,1,1,0,5,60,16,10,12,57,43,14,1,0,1,1
3025,são paulo,2011,38,santos,são paulo,1,4,1,6,59,16,11,11,57,46,11,1,0,1,-4
3026,figueirense,2011,38,avaí,-,-1,1,1,7,58,15,10,13,46,45,1,0,0,1,-7
3027,coritiba,2011,38,athlético-pr,athlético-pr,-1,1,0,8,57,16,13,9,57,41,16,0,1,-1,-1
3028,botafogo-rj,2011,38,fluminense,-,1,1,1,9,56,16,14,8,52,49,3,0,0,1,-6
3029,santos,2011,38,são paulo,são paulo,-1,4,1,10,53,15,15,8,55,55,0,0,1,2,-5
3030,palmeiras,2011,38,corinthians,-,-1,0,0,11,50,11,10,17,43,39,4,0,0,-1,1
3031,grêmio,2011,38,internacional,internacional,-1,1,0,12,48,13,16,9,49,57,-8,0,1,-1,-9
3032,atlético-go,2011,38,américa-mg,atlético-go,1,5,1,13,48,12,14,12,50,45,5,1,0,2,-2
3033,bahia,2011,38,ceará,bahia,1,2,1,14,46,11,14,13,43,49,-6,1,0,2,-6
3034,atlético-mg,2011,38,cruzeiro,cruzeiro,-1,6,1,15,45,13,19,6,50,60,-10,0,1,8,-1
3035,cruzeiro,2011,38,atlético-mg,cruzeiro,1,6,1,16,43,11,17,10,48,51,-3,1,0,3,-3
3036,athlético-pr,2011,38,coritiba,athlético-pr,1,1,0,17,41,10,17,11,38,55,-17,1,0,8,1
3037,ceará,2011,38,bahia,bahia,-1,2,1,18,39,10,19,9,47,64,-17,0,1,3,-19
3038,américa-mg,2011,38,atlético-go,atlético-go,-1,5,1,19,37,8,17,13,51,69,-18,0,1,10,-10
3039,avaí,2011,38,figueirense,-,1,1,1,20,31,7,21,10,45,75,-30,0,0,1,-3
3040,botafogo-rj,2012,1,são paulo,botafogo-rj,1,4,2,0,3,1,0,0,4,2,2,1,0,1,-1
3041,internacional,2012,1,coritiba,internacional,1,2,0,0,3,1,0,0,2,0,2,1,0,1,1
3042,atlético-mg,2012,1,ponte preta,atlético-mg,-1,0,1,0,3,1,0,0,1,0,1,1,0,1,1
3043,fluminense,2012,1,corinthians,fluminense,-1,0,1,0,3,1,0,0,1,0,1,1,0,1,1
3044,figueirense,2012,1,náutico,figueirense,1,2,1,0,3,1,0,0,2,1,1,1,0,1,-1
3045,vasco,2012,1,grêmio,vasco,1,2,1,0,3,1,0,0,2,1,1,1,0,1,-1
3046,flamengo,2012,1,sport,-,-1,1,1,0,1,0,0,1,1,1,0,0,0,1,-1
3047,portuguesa,2012,1,palmeiras,-,-1,1,1,0,1,0,0,1,1,1,0,0,0,1,-1
3048,atlético-go,2012,1,cruzeiro,-,-1,0,0,0,1,0,0,1,0,0,0,0,0,-1,1
3049,santos,2012,1,bahia,-,-1,0,0,0,1,0,0,1,0,0,0,0,0,-1,1
3050,sport,2012,1,flamengo,-,1,1,1,0,1,0,0,1,1,1,0,0,0,1,-1
3051,palmeiras,2012,1,portuguesa,-,1,1,1,0,1,0,0,1,1,1,0,0,0,1,-1
3052,cruzeiro,2012,1,atlético-go,-,1,0,0,0,1,0,0,1,0,0,0,0,0,-1,1
3053,bahia,2012,1,santos,-,1,0,0,0,1,0,0,1,0,0,0,0,0,-1,1
3054,náutico,2012,1,figueirense,figueirense,-1,2,1,0,0,0,1,0,1,2,-1,0,1,1,-1
3055,grêmio,2012,1,vasco,vasco,-1,2,1,0,0,0,1,0,1,2,-1,0,1,1,-1
3056,ponte preta,2012,1,atlético-mg,atlético-mg,1,0,1,0,0,0,1,0,0,1,-1,0,1,-1,-1
3057,corinthians,2012,1,fluminense,fluminense,1,0,1,0,0,0,1,0,0,1,-1,0,1,-1,-1
3058,são paulo,2012,1,botafogo-rj,botafogo-rj,-1,4,2,0,0,0,1,0,2,4,-2,0,1,1,-1
3059,coritiba,2012,1,internacional,internacional,-1,2,0,0,0,0,1,0,0,2,-2,0,1,-1,-1
3060,vasco,2012,2,portuguesa,vasco,-1,0,1,0,6,2,0,0,3,1,2,2,0,2,0
3061,atlético-mg,2012,2,corinthians,atlético-mg,1,1,0,0,6,2,0,0,2,0,2,2,0,2,1
3062,internacional,2012,2,flamengo,-,-1,3,3,0,4,1,0,1,5,3,2,0,0,2,-1
3063,botafogo-rj,2012,2,coritiba,-,-1,2,2,0,4,1,0,1,6,4,2,0,0,2,-2
3064,figueirense,2012,2,fluminense,-,-1,2,2,0,4,1,0,1,4,3,1,0,0,2,-2
3065,fluminense,2012,2,figueirense,-,1,2,2,0,4,1,0,1,3,2,1,0,0,2,-1
3066,grêmio,2012,2,palmeiras,grêmio,1,1,0,0,3,1,1,0,2,2,0,1,0,2,1
3067,são paulo,2012,2,bahia,são paulo,1,1,0,0,3,1,1,0,3,4,-1,1,0,2,1
3068,cruzeiro,2012,2,náutico,-,-1,0,0,0,2,0,0,2,0,0,0,0,0,-2,1
3069,sport,2012,2,santos,-,-1,0,0,0,2,0,0,2,1,1,0,0,0,-1,0
3070,flamengo,2012,2,internacional,-,1,3,3,0,2,0,0,2,4,4,0,0,0,2,-2
3071,atlético-go,2012,2,ponte preta,-,1,1,1,0,2,0,0,2,1,1,0,0,0,1,-1
