Time,Temporada,Rodada,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
Athletico-PR,2008,5,5,8,2,1,2,8,3,5,1,0,1,1
Sport,2008,5,6,8,2,1,2,5,4,1,1,0,3,1
Vitória,2008,5,7,7,2,2,1,5,4,1,1,0,1,1
Vasco,2008,5,8,7,2,2,1,6,5,1,0,1,-1,-5
Botafogo,2008,5,9,7,2,2,1,5,6,-1,1,0,1,-4
Palmeiras,2008,5,10,7,2,2,1,4,6,-2,0,1,-1,-1
São Paulo,2008,5,11,6,1,1,3,7,4,3,1,0,1,-3
Atlético-MG,2008,5,12,6,1,1,3,5,7,-2,0,1,4,-1
Coritiba,2008,5,13,5,1,2,2,6,6,0,0,1,5,-4
Portuguesa,2008,5,14,5,1,2,2,10,12,-2,1,0,1,-5
Ipatinga,2008,5,15,5,1,2,2,3,6,-3,0,0,-1,1
Figueirense,2008,5,16,5,1,2,2,7,15,-8,0,1,-3,-1
Santos,2008,5,17,4,1,3,1,5,8,-3,0,1,-3,-1
Internacional,2008,5,18,4,1,3,1,5,8,-3,0,1,5,-4
Goiás,2008,5,19,3,0,2,3,3,9,-6,0,1,-2,-3
Fluminense,2008,5,20,1,0,4,1,2,7,-5,0,4,1,-4
Flamengo,2008,6,1,13,4,1,1,13,6,7,0,1,4,-1
Grêmio,2008,6,2,13,4,1,1,9,3,6,2,0,4,-1
Cruzeiro,2008,6,3,13,4,1,1,11,6,5,0,1,6,-1
Náutico,2008,6,4,11,3,1,2,8,4,4,0,0,1,-1
Palmeiras,2008,6,5,10,3,2,1,9,8,1,1,0,1,-2
São Paulo,2008,6,6,9,2,1,3,11,6,5,2,0,2,-4
Atlético-MG,2008,6,7,9,2,1,3,9,9,0,1,0,5,-2
Athletico-PR,2008,6,8,8,2,2,2,8,4,4,0,1,-1,-1
Vasco,2008,6,9,8,2,2,2,7,6,1,0,0,1,-6
Vitória,2008,6,10,8,2,2,2,5,4,1,0,0,-1,1
Portuguesa,2008,6,11,8,2,2,2,11,12,-1,2,0,2,1
Sport,2008,6,12,8,2,2,2,6,7,-1,0,1,4,-1
Figueirense,2008,6,13,8,2,2,2,10,16,-6,1,0,1,-2
Internacional,2008,6,14,7,2,3,1,7,9,-2,1,0,6,-5
Botafogo,2008,6,15,7,2,3,1,6,8,-2,0,1,2,-5
Coritiba,2008,6,16,6,1,2,3,6,6,0,0,0,-1,1
Santos,2008,6,17,5,1,3,2,6,9,-3,0,0,1,-2
Ipatinga,2008,6,18,5,1,3,2,5,10,-5,0,1,1,-1
Goiás,2008,6,19,3,0,3,3,3,12,-9,0,2,-3,-4
Fluminense,2008,6,20,2,0,4,2,3,8,-5,0,0,2,-5
Grêmio,2008,7,1,16,5,1,1,12,3,9,3,0,5,1
Flamengo,2008,7,2,16,5,1,1,16,7,9,1,0,5,-2
Cruzeiro,2008,7,3,16,5,1,1,14,6,8,1,0,7,1
Náutico,2008,7,4,14,4,1,2,10,5,5,1,0,2,-2
Palmeiras,2008,7,5,13,4,2,1,11,8,3,2,0,2,-1
São Paulo,2008,7,6,12,3,1,3,12,6,6,3,0,3,1
Vitória,2008,7,7,11,3,2,2,7,5,2,1,0,1,-1
Portuguesa,2008,7,8,11,3,2,2,12,12,0,3,0,3,1
Coritiba,2008,7,9,9,2,2,3,8,7,1,1,0,1,-1
Atlético-MG,2008,7,10,9,2,2,3,10,11,-1,0,1,6,-3
Athletico-PR,2008,7,11,8,2,3,2,8,7,1,0,2,-2,-2
Vasco,2008,7,12,8,2,3,2,7,8,-1,0,1,-1,-7
Sport,2008,7,13,8,2,3,2,6,8,-2,0,2,-1,-2
Figueirense,2008,7,14,8,2,3,2,10,19,-9,0,1,-1,-3
Botafogo,2008,7,15,7,2,4,1,6,9,-3,0,2,-1,-6
Internacional,2008,7,16,7,2,4,1,8,11,-3,0,1,7,-6
Goiás,2008,7,17,6,1,3,3,7,12,-5,1,0,1,-3
Ipatinga,2008,7,18,5,1,4,2,6,13,-7,0,2,2,-2
Santos,2008,7,19,5,1,4,2,6,13,-7,0,1,-1,-3
Fluminense,2008,7,20,2,0,5,2,4,10,-6,0,1,3,-6
Flamengo,2008,8,1,19,6,1,1,18,8,10,2,0,6,-3
Grêmio,2008,8,2,17,5,1,2,13,4,9,0,0,6,-1
Cruzeiro,2008,8,3,17,5,1,2,15,7,8,0,0,8,-1
Palmeiras,2008,8,4,16,5,2,1,13,8,5,3,0,3,1
Vitória,2008,8,5,14,4,2,2,10,5,5,2,0,2,1
Náutico,2008,8,6,14,4,2,2,10,7,3,0,1,-1,-3
São Paulo,2008,8,7,13,3,1,4,13,7,6,0,0,4,-1
Portuguesa,2008,8,8,12,3,2,3,12,12,0,0,0,-1,1
Vasco,2008,8,9,11,3,3,2,11,10,1,1,0,1,-8
Coritiba,2008,8,10,10,2,2,4,9,8,1,0,0,2,-2
Atlético-MG,2008,8,11,10,2,2,4,11,12,-1,0,0,7,-4
Athletico-PR,2008,8,12,9,2,3,3,9,8,1,0,0,1,-3
Figueirense,2008,8,13,9,2,3,3,11,20,-9,0,0,1,-4
Internacional,2008,8,14,8,2,4,2,9,12,-3,0,0,8,-7
Botafogo,2008,8,15,8,2,4,2,6,9,-3,0,0,-2,-5
Sport,2008,8,16,8,2,4,2,7,10,-3,0,3,1,-3
Santos,2008,8,17,6,1,4,3,6,13,-7,0,0,-2,-2
Goiás,2008,8,18,6,1,4,3,7,15,-8,0,1,-1,-4
Ipatinga,2008,8,19,5,1,5,2,8,17,-9,0,3,3,-3
Fluminense,2008,8,20,3,0,5,3,4,10,-6,0,0,-1,1
Flamengo,2008,9,1,22,7,1,1,21,8,13,3,0,7,1
Grêmio,2008,9,2,17,5,2,2,13,6,7,0,1,-1,-2
Cruzeiro,2008,9,3,17,5,2,2,15,8,7,0,1,-1,-2
Vitória,2008,9,4,17,5,2,2,12,6,6,3,0,3,-1
Palmeiras,2008,9,5,17,5,2,2,14,9,5,0,0,4,-1
Náutico,2008,9,6,14,4,3,2,10,10,0,0,2,-2,-4
São Paulo,2008,9,7,14,3,1,5,14,8,6,0,0,5,-2
Athletico-PR,2008,9,8,12,3,3,3,10,8,2,1,0,2,1
Portuguesa,2008,9,9,12,3,3,3,13,14,-1,0,1,1,-1
Figueirense,2008,9,10,12,3,3,3,13,21,-8,1,0,2,-5
Internacional,2008,9,11,11,3,4,2,12,12,0,1,0,9,1
Vasco,2008,9,12,11,3,4,2,12,12,0,0,1,2,-9
Botafogo,2008,9,13,11,3,4,2,8,9,-1,1,0,1,1
Sport,2008,9,14,11,3,4,2,8,10,-2,1,0,2,1
Atlético-MG,2008,9,15,11,2,2,5,12,13,-1,0,0,8,-5
Coritiba,2008,9,16,10,2,3,4,9,11,-2,0,1,-1,-3
Goiás,2008,9,17,9,2,4,3,8,15,-7,1,0,1,1
Santos,2008,9,18,6,1,5,3,6,14,-8,0,1,-3,-3
Ipatinga,2008,9,19,6,1,5,3,9,18,-9,0,0,4,-4
Fluminense,2008,9,20,3,0,6,3,4,11,-7,0,1,-2,-1
Flamengo,2008,10,1,23,7,1,2,22,9,13,0,0,8,-1
Vitória,2008,10,2,20,6,2,2,17,8,9,4,0,4,-2
Cruzeiro,2008,10,3,18,5,2,3,17,10,7,0,0,1,-3
Grêmio,2008,10,4,18,5,2,3,14,7,7,0,0,1,-3
Palmeiras,2008,10,5,18,5,2,3,15,10,5,0,0,5,-2
Náutico,2008,10,6,17,5,3,2,12,11,1,1,0,1,-5
Vasco,2008,10,7,14,4,4,2,16,12,4,1,0,3,1
Internacional,2008,10,8,14,4,4,2,13,12,1,2,0,10,1
São Paulo,2008,10,9,14,3,2,5,15,10,5,0,1,6,-3
Coritiba,2008,10,10,13,3,3,4,13,11,2,1,0,1,1
Figueirense,2008,10,11,13,3,3,4,14,22,-8,0,0,3,-6
Athletico-PR,2008,10,12,12,3,4,3,10,11,-1,0,1,-1,-1
Portuguesa,2008,10,13,12,3,4,3,13,18,-5,0,2,-1,-2
Atlético-MG,2008,10,14,12,2,2,6,13,14,-1,0,0,9,-6
Botafogo,2008,10,15,11,3,5,2,10,14,-4,0,1,2,-1
Sport,2008,10,16,11,3,5,2,8,14,-6,0,1,-1,-1
Goiás,2008,10,17,9,2,5,3,8,16,-8,0,1,-1,-1
Santos,2008,10,18,7,1,5,4,7,15,-8,0,0,1,-4
