Time,Temporada,Rodada,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
palmeiras,2008,21,0,37,11,6,4,34,25,9,0,1,2,-1
santos,2008,21,0,19,4,10,7,24,36,-12,0,0,2,-6
fluminense,2008,21,0,22,6,11,4,25,30,-5,2,0,12,-1
vasco,2008,21,0,23,6,10,5,35,39,-4,2,0,2,1
são paulo,2008,21,0,36,10,5,6,36,23,13,1,0,1,-4
vitória,2008,21,0,33,10,8,3,31,23,8,0,0,-1,1
atlético-mg,2008,22,0,28,7,8,7,30,39,-9,1,0,2,1
são paulo,2008,22,0,37,10,5,7,38,25,13,0,0,2,-5
vitória,2008,22,0,36,11,8,3,33,24,9,1,0,1,-1
sport,2008,22,0,29,8,9,5,22,26,-4,0,0,1,-2
flamengo,2008,22,0,36,10,6,6,35,23,12,0,0,6,-3
goiás,2008,22,0,27,7,9,6,27,30,-3,0,1,-1,-2
grêmio,2008,22,0,45,13,3,6,38,15,23,0,0,13,-2
palmeiras,2008,22,0,40,12,6,4,38,27,11,1,0,3,-2
cruzeiro,2008,22,0,39,12,7,3,34,23,11,0,2,-2,-4
botafogo-rj,2008,22,0,38,11,6,5,32,20,12,0,0,7,-1
palmeiras,2008,23,0,43,13,6,4,40,28,12,2,0,4,-3
botafogo-rj,2008,23,0,39,11,6,6,33,21,12,0,0,8,-2
cruzeiro,2008,23,0,40,12,7,4,35,24,11,0,0,1,-5
flamengo,2008,23,0,37,10,6,7,37,25,12,0,0,7,-4
goiás,2008,23,0,30,8,9,6,29,30,-1,1,0,1,1
grêmio,2008,23,0,48,14,3,6,40,16,24,1,0,14,-3
atlético-mg,2008,23,0,29,7,8,8,31,40,-9,0,0,3,-1
sport,2008,23,0,32,9,9,5,23,26,-3,1,0,2,1
são paulo,2008,23,0,38,10,5,8,38,25,13,0,0,-1,1
vitória,2008,23,0,37,11,8,4,33,24,9,0,0,-1,1
são paulo,2008,24,0,39,10,5,9,39,26,13,0,0,1,-1
botafogo-rj,2008,24,0,42,12,6,6,34,21,13,1,0,9,-1
flamengo,2008,24,0,40,11,6,7,40,27,13,1,0,8,-5
grêmio,2008,24,0,49,14,3,7,40,16,24,0,0,-1,-2
goiás,2008,24,0,33,9,9,6,33,30,3,2,0,2,1
internacional,2008,24,0,33,9,9,6,27,27,0,1,0,1,1
náutico,2008,24,0,26,7,12,5,25,37,-12,1,0,4,1
palmeiras,2008,24,0,43,13,7,4,40,31,9,0,1,-1,-4
vitória,2008,24,0,37,11,9,4,33,26,7,0,1,-2,-1
cruzeiro,2008,24,0,43,13,7,4,38,25,13,1,0,2,-6
athlético-pr,2008,25,0,26,7,13,5,26,34,-8,1,0,1,1
botafogo-rj,2008,25,0,42,12,7,6,35,23,12,0,1,10,-2
palmeiras,2008,25,0,46,14,7,4,41,31,10,1,0,1,-3
grêmio,2008,25,0,49,14,4,7,41,18,23,0,1,1,-3
atlético-mg,2008,25,0,30,7,9,9,34,44,-10,0,1,5,-3
santos,2008,25,0,29,7,10,8,30,37,-7,2,0,2,-1
sport,2008,25,0,38,11,9,5,31,26,5,3,0,4,1
são paulo,2008,25,0,42,11,5,9,41,26,15,1,0,2,1
náutico,2008,25,0,29,8,12,5,28,38,-10,2,0,5,-1
vitória,2008,25,0,40,12,9,4,34,26,8,1,0,1,1
grêmio,2008,26,0,50,14,4,8,41,18,23,0,0,-1,-2
atlético-mg,2008,26,0,33,8,9,9,36,45,-9,1,0,6,-4
cruzeiro,2008,26,0,46,14,8,4,42,29,13,1,0,1,-8
flamengo,2008,26,0,43,12,7,7,41,29,12,1,0,1,1
coritiba,2008,26,0,40,11,8,7,38,27,11,1,0,1,-5
goiás,2008,26,0,39,11,9,6,39,32,7,4,0,4,-2
vitória,2008,26,0,40,12,10,4,34,27,7,0,1,-1,-1
palmeiras,2008,26,0,49,15,7,4,43,31,12,2,0,2,1
botafogo-rj,2008,26,0,42,12,8,6,36,26,10,0,2,11,-3
são paulo,2008,26,0,43,11,5,10,41,26,15,0,0,-1,1
atlético-mg,2008,27,0,34,8,9,10,36,45,-9,0,0,-1,1
botafogo-rj,2008,27,0,43,12,8,7,37,27,10,0,0,12,-4
coritiba,2008,27,0,41,11,8,8,39,28,11,0,0,2,-6
flamengo,2008,27,0,46,13,7,7,43,30,13,2,0,2,-1
goiás,2008,27,0,42,12,9,6,42,32,10,5,0,5,1
grêmio,2008,27,0,50,14,5,8,42,22,20,0,1,1,-3
ipatinga,2008,27,0,27,7,14,6,28,46,-18,1,0,1,-4
palmeiras,2008,27,0,50,15,7,5,43,31,12,0,0,-1,1
santos,2008,27,0,30,7,11,9,32,42,-10,0,0,4,-3
cruzeiro,2008,27,0,46,14,9,4,42,31,11,0,1,-1,-9
coritiba,2008,28,0,44,12,8,8,43,30,13,1,0,3,-7
cruzeiro,2008,28,0,49,15,9,4,43,31,12,1,0,1,1
goiás,2008,28,0,43,12,9,7,43,33,10,0,0,6,-1
grêmio,2008,28,0,53,15,5,8,44,23,21,1,0,2,-4
são paulo,2008,28,0,49,13,5,10,46,27,19,2,0,2,-1
flamengo,2008,28,0,49,14,7,7,45,30,15,3,0,3,0
palmeiras,2008,28,0,53,16,7,5,46,32,14,1,0,1,-1
santos,2008,28,0,33,8,11,9,36,42,-6,1,0,5,1
figueirense,2008,28,0,32,8,12,8,36,57,-21,1,0,1,-12
vitória,2008,28,0,43,13,11,4,37,31,6,1,0,1,-3
fluminense,2008,29,0,30,7,13,9,36,41,-5,1,0,5,-5
botafogo-rj,2008,29,0,46,13,9,7,41,30,11,1,0,14,-6
cruzeiro,2008,29,0,52,16,9,4,44,31,13,2,0,2,1
palmeiras,2008,29,0,54,16,7,6,46,32,14,0,0,-1,0
flamengo,2008,29,0,49,14,8,7,45,33,12,0,1,-1,-1
goiás,2008,29,0,44,12,9,8,44,34,10,0,0,7,-2
grêmio,2008,29,0,56,16,5,8,46,23,23,2,0,3,1
coritiba,2008,29,0,45,12,8,9,43,30,13,0,0,-1,-6
sport,2008,29,0,40,11,11,7,34,31,3,0,0,1,-3
são paulo,2008,29,0,52,14,5,10,47,27,20,3,0,3,1
cruzeiro,2008,30,0,55,17,9,4,46,31,15,3,0,3,1
botafogo-rj,2008,30,0,46,13,10,7,41,31,10,0,1,-1,-7
coritiba,2008,30,0,46,12,8,10,44,31,13,0,0,1,-7
figueirense,2008,30,0,34,8,12,10,37,58,-21,0,0,1,-1
internacional,2008,30,0,46,13,10,7,39,35,4,1,0,7,-4
palmeiras,2008,30,0,55,16,7,7,48,34,14,0,0,1,-1
grêmio,2008,30,0,56,16,6,8,46,25,21,0,1,-1,-1
sport,2008,30,0,41,11,11,8,36,33,3,0,0,2,-4
flamengo,2008,30,0,52,15,8,7,46,33,13,1,0,1,0
vitória,2008,30,0,44,13,12,5,40,36,4,0,0,3,-5
cruzeiro,2008,31,0,55,17,10,4,46,32,14,0,1,-1,-1
internacional,2008,31,0,47,13,10,8,41,37,4,0,0,8,-5
flamengo,2008,31,0,55,16,8,7,51,33,18,2,0,2,1
palmeiras,2008,31,0,55,16,8,7,48,37,11,0,1,-1,-2
goiás,2008,31,0,45,12,10,9,47,39,8,0,1,9,-4
grêmio,2008,31,0,59,17,6,8,47,25,22,1,0,1,1
botafogo-rj,2008,31,0,49,14,10,7,44,31,13,1,0,1,-6
portuguesa,2008,31,0,33,8,14,9,38,56,-18,0,0,2,-1
santos,2008,31,0,39,10,12,9,40,44,-4,2,0,2,1
são paulo,2008,31,0,56,15,5,11,51,30,21,1,0,5,-2
são paulo,2008,32,0,59,16,5,11,53,31,22,2,0,6,-3
coritiba,2008,32,0,49,13,9,10,46,37,9,1,0,1,-9
grêmio,2008,32,0,59,17,7,8,47,28,19,0,1,-1,-1
fluminense,2008,32,0,37,9,13,10,42,43,-1,2,0,8,1
internacional,2008,32,0,48,13,10,9,42,38,4,0,0,9,-6
palmeiras,2008,32,0,58,17,8,7,49,37,12,1,0,1,1
portuguesa,2008,32,0,36,9,14,9,40,56,-16,1,0,3,1
sport,2008,32,0,42,11,12,9,37,35,2,0,0,1,-6
athlético-pr,2008,32,0,32,8,16,8,32,46,-14,0,0,4,-1
flamengo,2008,32,0,56,16,8,8,51,33,18,0,0,-1,1
sport,2008,33,0,42,11,13,9,37,36,1,0,1,-1,-7
botafogo-rj,2008,33,0,49,14,12,7,46,35,11,0,2,3,-8
flamengo,2008,33,0,57,16,8,9,53,35,18,0,0,1,-1
fluminense,2008,33,0,37,9,14,10,42,44,-2,0,1,-1,-1
cruzeiro,2008,33,0,58,18,11,4,49,35,14,0,1,-1,-1
grêmio,2008,33,0,60,17,7,9,48,29,19,0,0,1,-2
coritiba,2008,33,0,49,13,10,10,46,39,7,0,1,-1,-10
vitória,2008,33,0,45,13,14,6,41,39,2,0,1,-2,-1
palmeiras,2008,33,0,61,18,8,7,51,38,13,2,0,2,-1
são paulo,2008,33,0,62,17,5,11,56,31,25,3,0,7,1
flamengo,2008,34,0,60,17,8,9,54,35,19,1,0,2,0
coritiba,2008,34,0,50,13,10,11,46,39,7,0,0,-2,1
cruzeiro,2008,34,0,61,19,11,4,50,35,15,1,0,1,1
athlético-pr,2008,34,0,38,10,16,8,35,46,-11,2,0,6,1
internacional,2008,34,0,51,14,11,9,46,41,5,1,0,1,1
grêmio,2008,34,0,63,18,7,9,49,29,20,1,0,2,-1
são paulo,2008,34,0,65,18,5,11,59,33,26,4,0,8,-1
goiás,2008,34,0,48,13,12,9,51,42,9,0,1,2,-1
santos,2008,34,0,40,10,14,10,42,48,-6,0,2,-1,-3
vitória,2008,34,0,45,13,15,6,41,40,1,0,2,-3,-2
vitória,2008,35,0,45,13,16,6,42,42,0,0,3,1,-3
atlético-mg,2008,35,0,47,12,12,11,50,56,-6,3,0,5,-4
flamengo,2008,35,0,63,18,8,9,59,37,22,2,0,3,-1
fluminense,2008,35,0,40,10,15,10,45,46,-1,1,0,1,-3
goiás,2008,35,0,51,14,12,9,54,43,11,1,0,3,-2
grêmio,2008,35,0,66,19,7,9,51,30,21,2,0,3,-2
sport,2008,35,0,45,12,14,9,39,40,-1,0,1,-1,-9
cruzeiro,2008,35,0,61,19,12,4,52,40,12,0,1,2,-1
internacional,2008,35,0,51,14,12,9,46,42,4,0,1,-1,-1
são paulo,2008,35,0,68,19,5,11,62,34,28,5,0,9,-2
botafogo-rj,2008,36,0,50,14,14,8,49,41,8,0,0,2,-11
coritiba,2008,36,0,53,14,11,11,52,42,10,1,0,2,-2
cruzeiro,2008,36,0,64,20,12,4,55,42,13,1,0,3,-2
náutico,2008,36,0,40,10,16,10,42,53,-11,0,1,2,-2
internacional,2008,36,0,51,14,13,9,46,44,2,0,2,-2,-2
palmeiras,2008,36,0,64,19,10,7,55,44,11,1,0,2,1
goiás,2008,36,0,52,14,12,10,54,43,11,0,0,-1,-1
sport,2008,36,0,48,13,14,9,42,40,2,1,0,1,1
são paulo,2008,36,0,71,20,5,11,64,35,29,6,0,10,-3
grêmio,2008,36,0,66,19,8,9,53,34,19,0,1,4,-3
atlético-mg,2008,37,0,48,12,13,12,50,59,-9,0,0,-2,1
botafogo-rj,2008,37,0,50,14,15,8,50,44,6,0,1,3,-12
coritiba,2008,37,0,53,14,12,11,52,44,8,0,1,-1,-3
flamengo,2008,37,0,64,18,9,10,64,43,21,0,0,5,-3
cruzeiro,2008,37,0,64,20,13,4,55,43,12,0,1,-1,-3
grêmio,2008,37,0,69,20,8,9,57,35,22,1,0,5,-4
náutico,2008,37,0,43,11,16,10,44,54,-10,1,0,3,-3
sport,2008,37,0,49,13,14,10,44,42,2,0,0,2,-1
são paulo,2008,37,0,72,20,5,12,65,36,29,0,0,11,-4
palmeiras,2008,37,0,65,19,10,8,55,44,11,0,0,-1,1
flamengo,2008,38,5,64,18,10,10,67,48,19,0,1,6,-4
cruzeiro,2008,38,3,67,21,13,4,59,44,15,1,0,1,-4
internacional,2008,38,6,54,15,14,9,48,47,1,0,1,2,-1
fluminense,2008,38,14,45,11,15,12,49,48,1,0,0,4,-4
são paulo,2008,38,1,75,21,5,12,66,36,30,1,0,12,-3
grêmio,2008,38,2,72,21,8,9,59,35,24,2,0,6,1
palmeiras,2008,38,4,65,19,11,8,55,45,10,0,1,-2,-1
santos,2008,38,15,45,11,15,12,44,53,-9,0,0,-2,1
coritiba,2008,38,9,53,14,13,11,55,48,7,0,2,1,-4
vitória,2008,38,10,52,15,16,7,48,44,4,1,0,1,1
vitória,2009,1,0,3,1,0,0,2,0,2,1,0,1,1
atlético-mg,2009,1,0,1,0,0,1,2,2,0,0,0,1,-1
internacional,2009,1,0,3,1,0,0,1,0,1,1,0,1,1
cruzeiro,2009,1,0,3,1,0,0,2,0,2,1,0,1,1
fluminense,2009,1,0,3,1,0,0,1,0,1,1,0,1,1
náutico,2009,1,0,1,0,0,1,3,3,0,0,0,1,-1
santos,2009,1,0,1,0,0,1,1,1,0,0,0,1,-1
palmeiras,2009,1,0,3,1,0,0,2,1,1,1,0,1,-1
botafogo-rj,2009,1,0,1,0,0,1,1,1,0,0,0,1,-1
barueri,2009,1,0,1,0,0,1,1,1,0,0,0,1,-1
