Time,Temporada,Rodada,Adversario,Vencedor,Mando_de_campo,Mandante Placar,Visitante Placar,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
atlético-mg,2010,34,santos,-,1,2,2,0,36,10,18,6,43,58,-15,0,0,1,-2
guarani,2010,34,palmeiras,palmeiras,-1,1,0,0,36,8,14,12,31,46,-15,0,1,-6,-1
avaí,2010,34,botafogo-rj,-,1,0,0,0,34,8,16,10,40,53,-13,0,0,-2,1
goiás,2010,34,grêmio prudente,grêmio prudente,-1,4,1,0,31,8,19,7,37,59,-22,0,3,1,-3
grêmio prudente,2010,34,goiás,grêmio prudente,1,4,1,0,30,7,18,9,36,55,-19,1,0,2,-21
corinthians,2010,35,cruzeiro,corinthians,1,1,0,0,63,18,8,9,61,39,22,3,0,5,1
fluminense,2010,35,goiás,-,1,1,1,0,62,17,7,11,55,34,21,0,0,2,-1
cruzeiro,2010,35,corinthians,corinthians,-1,1,0,0,60,17,9,9,46,35,11,0,1,-1,-2
athlético-pr,2010,35,grêmio prudente,athlético-pr,1,2,1,0,56,16,11,8,40,41,-1,3,0,6,-1
botafogo-rj,2010,35,ceará,-,-1,2,2,0,56,13,5,17,50,36,14,0,0,1,-1
grêmio,2010,35,santos,-,-1,0,0,0,54,14,9,12,59,42,17,0,0,-1,-3
santos,2010,35,grêmio,-,1,0,0,0,52,14,11,10,57,46,11,0,0,-1,1
internacional,2010,35,avaí,avaí,1,2,3,0,51,14,12,9,42,39,3,0,1,2,-2
são paulo,2010,35,vasco,-,-1,1,1,0,51,14,12,9,48,49,-1,0,0,1,-5
palmeiras,2010,35,atlético-go,atlético-go,-1,3,0,0,50,12,9,14,40,37,3,0,1,-1,-1
vasco,2010,35,são paulo,-,1,1,1,0,46,10,9,16,40,40,0,0,0,1,-12
ceará,2010,35,botafogo-rj,-,1,2,2,0,45,10,10,15,33,40,-7,0,0,9,-4
atlético-go,2010,35,palmeiras,atlético-go,1,3,0,0,40,11,17,7,50,53,-3,1,0,7,1
flamengo,2010,35,atlético-mg,atlético-mg,-1,4,1,0,40,8,11,16,38,41,-3,0,2,1,-5
atlético-mg,2010,35,flamengo,atlético-mg,1,4,1,0,39,11,18,6,47,59,-12,1,0,2,-3
vitória,2010,35,guarani,-,-1,1,1,0,39,9,14,12,40,46,-6,0,0,1,-5
avaí,2010,35,internacional,avaí,-1,2,3,0,37,9,16,10,43,55,-12,1,0,1,-1
guarani,2010,35,vitória,-,1,1,1,0,37,8,14,13,32,47,-15,0,0,1,-2
goiás,2010,35,fluminense,-,-1,1,1,0,32,8,19,8,38,60,-22,0,0,2,-4
grêmio prudente,2010,35,athlético-pr,athlético-pr,-1,2,1,0,30,7,19,9,37,57,-20,0,1,3,-22
fluminense,2010,36,são paulo,fluminense,-1,1,4,0,65,18,7,11,59,35,24,1,0,3,-2
corinthians,2010,36,vitória,-,-1,1,1,0,64,18,8,10,62,40,22,0,0,6,-1
cruzeiro,2010,36,vasco,cruzeiro,1,3,1,0,63,18,9,9,49,36,13,1,0,1,-3
grêmio,2010,36,athlético-pr,grêmio,1,3,1,0,57,15,9,12,62,43,19,1,0,1,-4
athlético-pr,2010,36,grêmio,grêmio,-1,3,1,0,56,16,12,8,41,44,-3,0,1,7,-2
botafogo-rj,2010,36,internacional,internacional,1,1,2,0,56,13,6,17,51,38,13,0,1,2,-2
santos,2010,36,goiás,santos,-1,1,4,0,55,15,11,10,61,47,14,1,0,1,-1
internacional,2010,36,botafogo-rj,internacional,-1,1,2,0,54,15,12,9,44,40,4,1,0,3,-3
são paulo,2010,36,fluminense,fluminense,1,1,4,0,51,14,13,9,49,53,-4,0,1,2,-6
palmeiras,2010,36,atlético-mg,atlético-mg,1,0,2,0,50,12,10,14,40,39,1,0,2,-2,-2
vasco,2010,36,cruzeiro,cruzeiro,-1,3,1,0,46,10,10,16,41,43,-2,0,1,2,-13
ceará,2010,36,grêmio prudente,-,-1,1,1,0,46,10,10,16,34,41,-7,0,0,10,-5
flamengo,2010,36,guarani,flamengo,1,2,1,0,43,9,11,16,40,42,-2,1,0,2,-6
atlético-mg,2010,36,palmeiras,atlético-mg,-1,0,2,0,42,12,18,6,49,59,-10,2,0,3,-2
atlético-go,2010,36,avaí,avaí,-1,3,0,0,40,11,18,7,50,56,-6,0,1,-1,-1
avaí,2010,36,atlético-go,avaí,1,3,0,0,40,10,16,10,46,55,-9,2,0,2,1
vitória,2010,36,corinthians,-,1,1,1,0,40,9,14,13,41,47,-6,0,0,2,-6
guarani,2010,36,flamengo,flamengo,-1,2,1,0,37,8,15,13,33,49,-16,0,1,2,-3
goiás,2010,36,santos,santos,1,1,4,0,32,8,20,8,39,64,-25,0,1,3,-5
grêmio prudente,2010,36,ceará,-,1,1,1,0,31,7,19,10,38,58,-20,0,0,4,-23
fluminense,2010,37,palmeiras,fluminense,-1,1,2,0,68,19,7,11,61,36,25,2,0,4,-3
corinthians,2010,37,vasco,corinthians,1,2,0,0,67,19,8,10,64,40,24,1,0,7,1
cruzeiro,2010,37,flamengo,cruzeiro,-1,1,2,0,66,19,9,9,51,37,14,2,0,2,-4
grêmio,2010,37,guarani,grêmio,-1,0,3,0,60,16,9,12,65,43,22,2,0,2,-3
botafogo-rj,2010,37,grêmio prudente,botafogo-rj,1,3,1,0,59,14,6,17,54,39,15,1,0,3,-3
athlético-pr,2010,37,ceará,-,-1,1,1,0,57,16,12,9,42,45,-3,0,0,8,-3
santos,2010,37,avaí,avaí,-1,3,2,0,55,15,12,10,63,50,13,0,1,2,-2
internacional,2010,37,vitória,-,1,1,1,0,55,15,12,10,45,41,4,0,0,4,-4
são paulo,2010,37,atlético-go,-,-1,1,1,0,52,14,13,10,50,54,-4,0,0,3,-7
palmeiras,2010,37,fluminense,fluminense,1,1,2,0,50,12,11,14,41,41,0,0,3,1,-3
ceará,2010,37,athlético-pr,-,1,1,1,0,47,10,10,17,35,42,-7,0,0,11,-6
vasco,2010,37,corinthians,corinthians,-1,2,0,0,46,10,11,16,41,45,-4,0,2,-1,-14
atlético-mg,2010,37,goiás,atlético-mg,1,3,1,0,45,13,18,6,52,60,-8,3,0,4,-3
avaí,2010,37,santos,avaí,1,3,2,0,43,11,16,10,49,57,-8,3,0,3,-1
flamengo,2010,37,cruzeiro,cruzeiro,1,1,2,0,43,9,12,16,41,44,-3,0,1,3,-7
atlético-go,2010,37,são paulo,-,1,1,1,0,41,11,18,8,51,57,-6,0,0,1,-2
vitória,2010,37,internacional,-,-1,1,1,0,41,9,14,14,42,48,-6,0,0,3,-7
guarani,2010,37,grêmio,grêmio,1,0,3,0,37,8,16,13,33,52,-19,0,2,-1,-4
goiás,2010,37,atlético-mg,atlético-mg,-1,3,1,0,32,8,21,8,40,67,-27,0,2,4,-6
grêmio prudente,2010,37,botafogo-rj,botafogo-rj,-1,3,1,0,31,7,20,10,39,61,-22,0,1,5,-24
fluminense,2010,38,guarani,fluminense,1,1,0,1,71,20,7,11,62,36,26,3,0,5,1
cruzeiro,2010,38,palmeiras,cruzeiro,1,2,1,2,69,20,9,9,53,38,15,3,0,3,-5
corinthians,2010,38,goiás,-,-1,1,1,3,68,19,8,11,65,41,24,0,0,8,-1
grêmio,2010,38,botafogo-rj,grêmio,1,3,0,4,63,17,9,12,68,43,25,3,0,3,1
athlético-pr,2010,38,avaí,athlético-pr,1,1,0,5,60,17,12,9,43,45,-2,1,0,9,1
botafogo-rj,2010,38,grêmio,grêmio,-1,3,0,6,59,14,7,17,54,42,12,0,1,-1,-4
internacional,2010,38,grêmio prudente,internacional,-1,0,3,7,58,16,12,10,48,41,7,1,0,5,-3
santos,2010,38,flamengo,-,1,0,0,8,56,15,12,11,63,50,13,0,0,-1,1
são paulo,2010,38,atlético-mg,são paulo,1,4,0,9,55,15,13,10,54,54,0,1,0,4,1
palmeiras,2010,38,cruzeiro,cruzeiro,-1,2,1,10,50,12,12,14,42,43,-1,0,4,2,-4
vasco,2010,38,ceará,vasco,1,2,0,11,49,11,11,16,43,45,-2,1,0,1,1
ceará,2010,38,vasco,vasco,-1,2,0,12,47,10,11,17,35,44,-9,0,1,-1,-7
atlético-mg,2010,38,são paulo,são paulo,-1,4,0,13,45,13,19,6,52,64,-12,0,1,-1,-4
flamengo,2010,38,santos,-,-1,0,0,14,44,9,12,17,41,44,-3,0,0,-1,-6
avaí,2010,38,athlético-pr,athlético-pr,-1,1,0,15,43,11,17,10,49,58,-9,0,1,-1,-2
atlético-go,2010,38,vitória,-,-1,0,0,16,42,11,18,9,51,57,-6,0,0,-1,-1
vitória,2010,38,atlético-go,-,1,0,0,17,42,9,14,15,42,48,-6,0,0,-1,1
guarani,2010,38,fluminense,fluminense,-1,1,0,18,37,8,17,13,33,53,-20,0,3,-2,-5
goiás,2010,38,corinthians,-,1,1,1,19,33,8,21,9,41,68,-27,0,0,5,-7
grêmio prudente,2010,38,internacional,internacional,1,0,3,20,31,7,21,10,39,64,-25,0,2,-1,-25
flamengo,2011,1,avaí,flamengo,1,4,0,0,3,1,0,0,4,0,4,1,0,1,1
atlético-mg,2011,1,athlético-pr,atlético-mg,1,3,0,0,3,1,0,0,3,0,3,1,0,1,1
vasco,2011,1,ceará,vasco,-1,1,3,0,3,1,0,0,3,1,2,1,0,1,-1
são paulo,2011,1,fluminense,são paulo,-1,0,2,0,3,1,0,0,2,0,2,1,0,1,1
atlético-go,2011,1,coritiba,atlético-go,-1,0,1,0,3,1,0,0,1,0,1,1,0,1,1
corinthians,2011,1,grêmio,corinthians,-1,1,2,0,3,1,0,0,2,1,1,1,0,1,-1
américa-mg,2011,1,bahia,américa-mg,1,2,1,0,3,1,0,0,2,1,1,1,0,1,-1
figueirense,2011,1,cruzeiro,figueirense,1,1,0,0,3,1,0,0,1,0,1,1,0,1,1
palmeiras,2011,1,botafogo-rj,palmeiras,1,1,0,0,3,1,0,0,1,0,1,1,0,1,1
internacional,2011,1,santos,-,-1,1,1,0,1,0,0,1,1,1,0,0,0,1,-1
santos,2011,1,internacional,-,1,1,1,0,1,0,0,1,1,1,0,0,0,1,-1
bahia,2011,1,américa-mg,américa-mg,-1,2,1,0,0,0,1,0,1,2,-1,0,1,1,-1
cruzeiro,2011,1,figueirense,figueirense,-1,1,0,0,0,0,1,0,0,1,-1,0,1,-1,-1
botafogo-rj,2011,1,palmeiras,palmeiras,-1,1,0,0,0,0,1,0,0,1,-1,0,1,-1,-1
coritiba,2011,1,atlético-go,atlético-go,1,0,1,0,0,0,1,0,0,1,-1,0,1,-1,-1
grêmio,2011,1,corinthians,corinthians,1,1,2,0,0,0,1,0,1,2,-1,0,1,1,-1
ceará,2011,1,vasco,vasco,1,1,3,0,0,0,1,0,1,3,-2,0,1,1,-1
fluminense,2011,1,são paulo,são paulo,1,0,2,0,0,0,1,0,0,2,-2,0,1,-1,-1
athlético-pr,2011,1,atlético-mg,atlético-mg,-1,3,0,0,0,0,1,0,0,3,-3,0,1,-1,-1
avaí,2011,1,flamengo,flamengo,-1,4,0,0,0,0,1,0,0,4,-4,0,1,-1,-1
atlético-mg,2011,2,avaí,atlético-mg,-1,1,3,0,6,2,0,0,6,1,5,2,0,2,-1
vasco,2011,2,américa-mg,vasco,1,3,0,0,6,2,0,0,6,1,5,2,0,2,1
são paulo,2011,2,figueirense,são paulo,1,1,0,0,6,2,0,0,3,0,3,2,0,2,1
corinthians,2011,2,coritiba,corinthians,1,2,1,0,6,2,0,0,4,2,2,2,0,2,-2
flamengo,2011,2,bahia,-,-1,3,3,0,4,1,0,1,7,3,4,0,0,2,-1
palmeiras,2011,2,cruzeiro,-,-1,1,1,0,4,1,0,1,2,1,1,0,0,2,-1
figueirense,2011,2,são paulo,são paulo,-1,1,0,0,3,1,1,0,1,1,0,0,1,-1,-1
grêmio,2011,2,athlético-pr,grêmio,-1,0,1,0,3,1,1,0,2,2,0,1,0,2,0
botafogo-rj,2011,2,santos,botafogo-rj,1,1,0,0,3,1,1,0,1,1,0,1,0,1,1
atlético-go,2011,2,fluminense,fluminense,1,0,1,0,3,1,1,0,1,1,0,0,1,-1,-1
ceará,2011,2,internacional,ceará,-1,0,1,0,3,1,1,0,2,3,-1,1,0,2,0
fluminense,2011,2,atlético-go,fluminense,-1,0,1,0,3,1,1,0,1,2,-1,1,0,1,0
américa-mg,2011,2,vasco,vasco,-1,3,0,0,3,1,1,0,2,4,-2,0,1,-1,-2
santos,2011,2,botafogo-rj,botafogo-rj,-1,1,0,0,1,0,1,1,1,2,-1,0,1,-1,-2
internacional,2011,2,ceará,ceará,1,0,1,0,1,0,1,1,1,2,-1,0,1,-1,-2
bahia,2011,2,flamengo,-,1,3,3,0,1,0,1,1,4,5,-1,0,0,2,-2
cruzeiro,2011,2,palmeiras,-,1,1,1,0,1,0,1,1,1,2,-1,0,0,1,-2
coritiba,2011,2,corinthians,corinthians,-1,2,1,0,0,0,2,0,1,3,-2,0,2,1,-2
athlético-pr,2011,2,grêmio,grêmio,1,0,1,0,0,0,2,0,0,4,-4,0,2,-2,-2
avaí,2011,2,atlético-mg,atlético-mg,1,1,3,0,0,0,2,0,1,7,-6,0,2,1,-2
são paulo,2011,3,atlético-mg,são paulo,-1,0,1,0,9,3,0,0,4,0,4,3,0,3,1
corinthians,2011,3,flamengo,-,-1,1,1,0,7,2,0,1,5,3,2,0,0,3,-3
palmeiras,2011,3,athlético-pr,palmeiras,1,1,0,0,7,2,0,1,3,1,2,1,0,3,1
atlético-mg,2011,3,são paulo,são paulo,1,0,1,0,6,2,1,0,6,2,4,0,1,-1,-2
figueirense,2011,3,atlético-go,figueirense,1,2,0,0,6,2,1,0,3,1,2,1,0,1,1
grêmio,2011,3,bahia,grêmio,1,2,0,0,6,2,1,0,4,2,2,2,0,3,1
vasco,2011,3,coritiba,coritiba,-1,5,1,0,6,2,1,0,7,6,1,0,1,3,-1
fluminense,2011,3,cruzeiro,fluminense,1,2,1,0,6,2,1,0,3,3,0,2,0,2,-1
flamengo,2011,3,corinthians,-,1,1,1,0,5,1,0,2,8,4,4,0,0,3,-2
internacional,2011,3,américa-mg,internacional,-1,2,4,0,4,1,1,1,5,4,1,1,0,1,-3
santos,2011,3,avaí,santos,1,3,1,0,4,1,1,1,4,3,1,1,0,1,-3
botafogo-rj,2011,3,ceará,-,-1,2,2,0,4,1,1,1,3,3,0,0,0,2,-1
ceará,2011,3,botafogo-rj,-,1,2,2,0,4,1,1,1,4,5,-1,0,0,3,-1
coritiba,2011,3,vasco,coritiba,1,5,1,0,3,1,2,0,6,4,2,1,0,2,-3
atlético-go,2011,3,figueirense,figueirense,-1,2,0,0,3,1,2,0,1,3,-2,0,2,-2,-2
américa-mg,2011,3,internacional,internacional,1,2,4,0,3,1,2,0,4,8,-4,0,2,1,-3
cruzeiro,2011,3,fluminense,fluminense,-1,2,1,0,1,0,2,1,2,4,-2,0,1,2,-3
bahia,2011,3,grêmio,grêmio,-1,2,0,0,1,0,2,1,4,7,-3,0,1,-1,-3
athlético-pr,2011,3,palmeiras,palmeiras,-1,1,0,0,0,0,3,0,0,5,-5,0,3,-3,-3
avaí,2011,3,santos,santos,-1,3,1,0,0,0,3,0,2,10,-8,0,3,2,-3
são paulo,2011,4,grêmio,são paulo,1,3,1,0,12,4,0,0,7,1,6,4,0,4,-1
corinthians,2011,4,fluminense,corinthians,1,2,0,0,10,3,0,1,7,3,4,1,0,4,1
palmeiras,2011,4,internacional,-,-1,2,2,0,8,2,0,2,5,3,2,0,0,4,-1
atlético-mg,2011,4,bahia,-,-1,1,1,0,7,2,1,1,7,3,4,0,0,1,-3
figueirense,2011,4,vasco,-,-1,1,1,0,7,2,1,1,4,2,2,0,0,2,-1
botafogo-rj,2011,4,coritiba,botafogo-rj,1,3,1,0,7,2,1,1,6,4,2,1,0,3,-2
vasco,2011,4,figueirense,-,1,1,1,0,7,2,1,1,8,7,1,0,0,4,-2
atlético-go,2011,4,ceará,atlético-go,1,4,1,0,6,2,2,0,5,4,1,1,0,1,-3
grêmio,2011,4,são paulo,são paulo,-1,3,1,0,6,2,2,0,5,5,0,0,1,4,-1
fluminense,2011,4,corinthians,corinthians,-1,2,0,0,6,2,2,0,3,5,-2,0,1,-1,-2
flamengo,2011,4,athlético-pr,-,-1,1,1,0,6,1,0,3,9,5,4,0,0,4,-3
santos,2011,4,cruzeiro,-,-1,1,1,0,5,1,1,2,5,4,1,0,0,2,-4
internacional,2011,4,palmeiras,-,1,2,2,0,5,1,1,2,7,6,1,0,0,2,-4
américa-mg,2011,4,avaí,-,-1,2,2,0,4,1,2,1,6,10,-4,0,0,2,-4
ceará,2011,4,atlético-go,atlético-go,-1,4,1,0,4,1,2,1,5,9,-4,0,1,4,-2
coritiba,2011,4,botafogo-rj,botafogo-rj,-1,3,1,0,3,1,3,0,7,7,0,0,1,3,-4
cruzeiro,2011,4,santos,-,1,1,1,0,2,0,2,2,3,5,-2,0,0,3,-4
bahia,2011,4,atlético-mg,-,1,1,1,0,2,0,2,2,5,8,-3,0,0,1,-4
athlético-pr,2011,4,flamengo,-,1,1,1,0,1,0,3,1,1,6,-5,0,0,1,-4
avaí,2011,4,américa-mg,-,1,2,2,0,1,0,3,1,4,12,-8,0,0,3,-4
são paulo,2011,5,ceará,são paulo,-1,0,2,0,15,5,0,0,9,1,8,5,0,5,0
palmeiras,2011,5,avaí,palmeiras,1,5,0,0,11,3,0,2,10,3,7,1,0,5,1
corinthians,2011,5,santos,-,-1,0,0,0,11,3,0,2,7,3,4,0,0,-1,1
figueirense,2011,5,athlético-pr,figueirense,1,2,0,0,10,3,1,1,6,2,4,1,0,3,1
atlético-mg,2011,5,atlético-go,-,1,2,2,0,8,2,1,2,9,5,4,0,0,2,-4
botafogo-rj,2011,5,flamengo,-,-1,0,0,0,8,2,1,2,6,4,2,0,0,-1,-1
vasco,2011,5,grêmio,-,-1,1,1,0,8,2,1,2,9,8,1,0,0,5,-3
atlético-go,2011,5,atlético-mg,-,-1,2,2,0,7,2,2,1,7,6,1,0,0,2,-4
grêmio,2011,5,vasco,-,1,1,1,0,7,2,2,1,6,6,0,0,0,5,-2
flamengo,2011,5,botafogo-rj,-,1,0,0,0,7,1,0,4,9,5,4,0,0,-1,1
fluminense,2011,5,bahia,bahia,1,0,1,0,6,2,3,0,3,6,-3,0,2,-2,-3
internacional,2011,5,coritiba,-,-1,1,1,0,6,1,1,3,8,7,1,0,0,3,-5
santos,2011,5,corinthians,-,1,0,0,0,6,1,1,3,5,4,1,0,0,-1,1
bahia,2011,5,fluminense,bahia,-1,0,1,0,5,1,2,2,6,8,-2,1,0,2,-3
américa-mg,2011,5,cruzeiro,-,1,1,1,0,5,1,2,2,7,11,-4,0,0,3,-5
coritiba,2011,5,internacional,-,1,1,1,0,4,1,3,1,8,8,0,0,0,4,-5
ceará,2011,5,são paulo,são paulo,1,0,2,0,4,1,3,1,5,11,-6,0,2,-1,-3
cruzeiro,2011,5,américa-mg,-,-1,1,1,0,3,0,2,3,4,6,-2,0,0,4,-5
athlético-pr,2011,5,figueirense,figueirense,-1,2,0,0,1,0,4,1,1,8,-7,0,1,-1,-5
avaí,2011,5,palmeiras,palmeiras,-1,5,0,0,1,0,4,1,4,17,-13,0,1,-1,-5
são paulo,2011,6,corinthians,corinthians,-1,5,0,0,15,5,1,0,9,6,3,0,1,-1,-1
corinthians,2011,6,são paulo,corinthians,1,5,0,0,14,4,0,2,12,3,9,1,0,1,1
palmeiras,2011,6,ceará,ceará,-1,2,0,0,11,3,1,2,10,5,5,0,1,-1,-1
botafogo-rj,2011,6,grêmio,botafogo-rj,1,2,1,0,11,3,1,2,8,5,3,1,0,1,-2
vasco,2011,6,atlético-go,vasco,-1,0,1,0,11,3,1,2,10,8,2,1,0,6,-2
figueirense,2011,6,internacional,internacional,-1,4,1,0,10,3,2,1,7,6,1,0,1,4,-1
flamengo,2011,6,atlético-mg,flamengo,1,4,1,0,10,2,0,4,13,6,7,1,0,1,-1
fluminense,2011,6,avaí,fluminense,-1,0,1,0,9,3,3,0,4,6,-2,1,0,1,-2
internacional,2011,6,figueirense,internacional,1,4,1,0,9,2,1,3,12,8,4,1,0,4,-6
santos,2011,6,américa-mg,santos,1,1,0,0,9,2,1,3,6,4,2,1,0,1,1
atlético-mg,2011,6,flamengo,flamengo,-1,4,1,0,8,2,2,2,10,9,1,0,1,3,-5
bahia,2011,6,athlético-pr,bahia,-1,0,2,0,8,2,2,2,8,8,0,2,0,3,-2
atlético-go,2011,6,vasco,vasco,1,0,1,0,7,2,3,1,7,7,0,0,1,-1,-5
grêmio,2011,6,botafogo-rj,botafogo-rj,-1,2,1,0,7,2,3,1,7,8,-1,0,1,6,-3
ceará,2011,6,palmeiras,ceará,1,2,0,0,7,2,3,1,7,11,-4,1,0,1,1
cruzeiro,2011,6,coritiba,cruzeiro,1,2,1,0,6,1,2,3,6,7,-1,1,0,5,-6
américa-mg,2011,6,santos,santos,-1,1,0,0,5,1,3,2,7,12,-5,0,1,-1,-6
coritiba,2011,6,cruzeiro,cruzeiro,-1,2,1,0,4,1,4,1,9,10,-1,0,1,5,-6
athlético-pr,2011,6,bahia,bahia,1,0,2,0,1,0,5,1,1,10,-9,0,2,-2,-6
avaí,2011,6,fluminense,fluminense,1,0,1,0,1,0,5,1,4,18,-14,0,2,-2,-6
corinthians,2011,7,bahia,corinthians,-1,0,1,0,17,5,0,2,13,3,10,2,0,2,1
são paulo,2011,7,botafogo-rj,botafogo-rj,1,0,2,0,15,5,2,0,9,8,1,0,2,-2,-2
palmeiras,2011,7,atlético-go,palmeiras,1,2,0,0,14,4,1,2,12,5,7,1,0,1,1
botafogo-rj,2011,7,são paulo,botafogo-rj,-1,0,2,0,14,4,1,2,10,5,5,2,0,2,-1
figueirense,2011,7,santos,figueirense,1,2,1,0,13,4,2,1,9,7,2,1,0,5,-2
flamengo,2011,7,américa-mg,flamengo,-1,2,3,0,13,3,0,4,16,8,8,2,0,2,-2
fluminense,2011,7,athlético-pr,fluminense,1,3,1,0,12,4,3,0,7,7,0,2,0,2,-3
internacional,2011,7,atlético-mg,internacional,-1,0,4,0,12,3,1,3,16,8,8,2,0,5,-5
vasco,2011,7,cruzeiro,cruzeiro,1,0,3,0,11,3,2,2,10,11,-1,0,1,-1,-3
cruzeiro,2011,7,vasco,cruzeiro,-1,0,3,0,9,2,2,3,9,7,2,2,0,6,-5
santos,2011,7,figueirense,figueirense,-1,2,1,0,9,2,2,3,7,6,1,0,1,2,-1
grêmio,2011,7,avaí,-,1,2,2,0,8,2,3,2,9,10,-1,0,0,7,-4
bahia,2011,7,corinthians,corinthians,1,0,1,0,8,2,3,2,8,9,-1,0,1,-1,-3
atlético-mg,2011,7,internacional,internacional,1,0,4,0,8,2,3,2,10,13,-3,0,2,-1,-6
coritiba,2011,7,ceará,coritiba,1,3,1,0,7,2,4,1,12,11,1,1,0,6,-7
atlético-go,2011,7,palmeiras,palmeiras,-1,2,0,0,7,2,4,1,7,9,-2,0,2,-2,-6
ceará,2011,7,coritiba,coritiba,-1,3,1,0,7,2,4,1,8,14,-6,0,1,2,-1
américa-mg,2011,7,flamengo,flamengo,1,2,3,0,5,1,4,2,9,15,-6,0,2,1,-7
avaí,2011,7,grêmio,-,-1,2,2,0,2,0,5,2,6,20,-14,0,0,1,-7
athlético-pr,2011,7,fluminense,fluminense,-1,3,1,0,1,0,6,1,2,13,-11,0,3,1,-7
corinthians,2011,8,vasco,corinthians,1,2,1,0,20,6,0,2,15,4,11,3,0,3,-1
flamengo,2011,8,são paulo,flamengo,1,1,0,0,16,4,0,4,17,8,9,3,0,3,1
são paulo,2011,8,flamengo,flamengo,-1,1,0,0,15,5,3,0,9,9,0,0,3,-3,-3
internacional,2011,8,athlético-pr,internacional,1,1,0,0,15,4,1,3,17,8,9,3,0,6,1
palmeiras,2011,8,américa-mg,-,-1,1,1,0,15,4,1,3,13,6,7,0,0,2,-1
botafogo-rj,2011,8,atlético-go,-,1,1,1,0,15,4,1,3,11,6,5,0,0,3,-2
figueirense,2011,8,coritiba,coritiba,-1,3,0,0,13,4,3,1,9,10,-1,0,1,-1,-3
fluminense,2011,8,santos,santos,-1,2,1,0,12,4,4,0,8,9,-1,0,1,3,-4
cruzeiro,2011,8,grêmio,cruzeiro,1,2,0,0,12,3,2,3,11,7,4,3,0,7,1
santos,2011,8,fluminense,santos,1,2,1,0,12,3,2,3,9,7,2,1,0,3,-2
vasco,2011,8,corinthians,corinthians,-1,2,1,0,11,3,3,2,11,13,-2,0,2,1,-4
coritiba,2011,8,figueirense,coritiba,1,3,0,0,10,3,4,1,15,11,4,2,0,7,1
ceará,2011,8,atlético-mg,ceará,1,3,0,0,10,3,4,1,11,14,-3,1,0,3,1
bahia,2011,8,avaí,-,-1,2,2,0,9,2,3,3,10,11,-1,0,0,1,-4
atlético-go,2011,8,botafogo-rj,-,-1,1,1,0,8,2,4,2,8,10,-2,0,0,1,-7
grêmio,2011,8,cruzeiro,cruzeiro,-1,2,0,0,8,2,4,2,9,12,-3,0,1,-1,-5
atlético-mg,2011,8,ceará,ceará,-1,3,0,0,8,2,4,2,10,16,-6,0,3,-2,-7
américa-mg,2011,8,palmeiras,-,1,1,1,0,6,1,4,3,10,16,-6,0,0,2,-8
avaí,2011,8,bahia,-,1,2,2,0,3,0,5,3,8,22,-14,0,0,2,-8
athlético-pr,2011,8,internacional,internacional,-1,1,0,0,1,0,7,1,2,14,-12,0,4,-1,-8
corinthians,2011,9,atlético-go,corinthians,-1,0,1,0,23,7,0,2,16,4,12,4,0,4,0
flamengo,2011,9,fluminense,flamengo,-1,0,1,0,19,5,0,4,18,8,10,4,0,4,1
são paulo,2011,9,cruzeiro,são paulo,1,2,1,0,18,6,3,0,11,10,1,1,0,1,-4
palmeiras,2011,9,santos,palmeiras,1,3,0,0,18,5,1,3,16,6,10,1,0,3,1
botafogo-rj,2011,9,bahia,-,-1,1,1,0,16,4,1,4,12,7,5,0,0,4,-3
internacional,2011,9,vasco,vasco,-1,2,0,0,15,4,2,3,17,10,7,0,1,-1,-1
vasco,2011,9,internacional,vasco,1,2,0,0,14,4,3,2,13,13,0,1,0,2,1
figueirense,2011,9,ceará,-,1,1,1,0,14,4,3,2,10,11,-1,0,0,1,-4
fluminense,2011,9,flamengo,flamengo,1,0,1,0,12,4,5,0,8,10,-2,0,2,-1,-5
cruzeiro,2011,9,são paulo,são paulo,-1,2,1,0,12,3,3,3,12,9,3,0,1,8,-1
santos,2011,9,palmeiras,palmeiras,-1,3,0,0,12,3,3,3,9,10,-1,0,1,-1,-3
grêmio,2011,9,coritiba,grêmio,1,2,0,0,11,3,4,2,11,12,-1,1,0,1,1
ceará,2011,9,figueirense,-,-1,1,1,0,11,3,4,2,12,15,-3,0,0,4,-1
atlético-mg,2011,9,américa-mg,atlético-mg,1,2,0,0,11,3,4,2,12,16,-4,1,0,1,1
coritiba,2011,9,grêmio,grêmio,-1,2,0,0,10,3,5,1,15,13,2,0,1,-1,-1
bahia,2011,9,botafogo-rj,-,1,1,1,0,10,2,3,4,11,12,-1,0,0,2,-5
atlético-go,2011,9,corinthians,corinthians,1,0,1,0,8,2,5,2,8,11,-3,0,1,-1,-8
américa-mg,2011,9,atlético-mg,atlético-mg,-1,2,0,0,6,1,5,3,10,18,-8,0,1,-1,-9
avaí,2011,9,athlético-pr,-,-1,0,0,0,4,0,5,4,8,22,-14,0,0,-1,-7
athlético-pr,2011,9,avaí,-,1,0,0,0,2,0,7,2,2,14,-12,0,0,-2,1
corinthians,2011,10,botafogo-rj,corinthians,-1,0,2,0,26,8,0,2,18,4,14,5,0,5,1
