Time,Temporada,Rodada,Adversario,Vencedor,Mando_de_campo,Mandante Placar,Visitante Placar,Posicao,Pontos,Vitoria,Derrota,Empate,Gols_pro,Gols_contra,Saldo_de_gols,Vitorias_consecutivas,Derrotas_consecutivas,Jogos_marcando,Jogos_sem_sofrer_gols
ipatinga,2008,3,goiás,-,-1,1,1,0,1,0,2,1,1,6,-5,0,0,1,-3
cruzeiro,2008,4,coritiba,-,-1,1,1,0,10,3,0,1,8,1,7,0,0,4,-1
flamengo,2008,4,fluminense,flamengo,-1,0,1,0,10,3,0,1,6,2,4,2,0,2,0
náutico,2008,4,botafogo-rj,náutico,1,3,0,0,9,3,1,0,7,3,4,1,0,1,1
grêmio,2008,4,vasco,vasco,-1,2,1,0,7,2,1,1,4,2,2,0,1,2,-1
palmeiras,2008,4,athlético-pr,palmeiras,1,1,0,0,7,2,1,1,4,4,0,1,0,3,1
atlético-mg,2008,4,portuguesa,atlético-mg,1,2,0,0,6,1,0,3,4,2,2,1,0,3,1
vasco,2008,4,grêmio,vasco,1,2,1,0,5,1,1,2,6,4,2,1,0,3,-4
coritiba,2008,4,cruzeiro,-,1,1,1,0,5,1,1,2,5,4,1,0,0,4,-3
athlético-pr,2008,4,palmeiras,palmeiras,-1,1,0,0,5,1,1,2,3,3,0,0,1,-1,-3
sport,2008,4,internacional,-,-1,1,1,0,5,1,1,2,3,4,-1,0,0,2,-2
figueirense,2008,4,goiás,-,1,0,0,0,5,1,1,2,7,10,-3,0,0,-2,1
vitória,2008,4,ipatinga,ipatinga,-1,2,0,0,4,1,2,1,4,4,0,0,1,-1,-1
internacional,2008,4,sport,-,1,1,1,0,4,1,2,1,4,5,-1,0,0,4,-3
botafogo-rj,2008,4,náutico,náutico,-1,3,0,0,4,1,2,1,3,5,-2,0,1,-1,-3
santos,2008,4,são paulo,-,1,0,0,0,4,1,2,1,5,7,-2,0,0,-2,1
ipatinga,2008,4,vitória,ipatinga,1,2,0,0,4,1,2,1,3,6,-3,1,0,2,1
goiás,2008,4,figueirense,-,-1,0,0,0,3,0,1,3,3,4,-1,0,0,-1,-2
são paulo,2008,4,santos,-,-1,0,0,0,3,0,1,3,2,3,-1,0,0,-1,-2
portuguesa,2008,4,atlético-mg,atlético-mg,-1,2,0,0,3,0,1,3,7,11,-4,0,1,-1,-4
fluminense,2008,4,flamengo,flamengo,1,0,1,0,1,0,3,1,1,5,-4,0,3,-1,-3
flamengo,2008,5,figueirense,flamengo,1,5,0,0,13,4,0,1,11,2,9,3,0,3,1
cruzeiro,2008,5,vasco,cruzeiro,1,1,0,0,13,4,0,1,9,1,8,1,0,5,1
náutico,2008,5,ipatinga,-,-1,0,0,0,10,3,1,1,7,3,4,0,0,-1,1
grêmio,2008,5,fluminense,grêmio,1,2,1,0,10,3,1,1,6,3,3,1,0,3,-2
athlético-pr,2008,5,goiás,athlético-pr,1,5,0,0,8,2,1,2,8,3,5,1,0,1,1
sport,2008,5,palmeiras,sport,1,2,0,0,8,2,1,2,5,4,1,1,0,3,1
vitória,2008,5,santos,vitória,1,1,0,0,7,2,2,1,5,4,1,1,0,1,1
botafogo-rj,2008,5,coritiba,botafogo-rj,1,2,1,0,7,2,2,1,5,6,-1,1,0,1,-4
palmeiras,2008,5,sport,sport,-1,2,0,0,7,2,2,1,4,6,-2,0,1,-1,-1
são paulo,2008,5,atlético-mg,são paulo,1,5,1,0,6,1,1,3,7,4,3,1,0,1,-3
atlético-mg,2008,5,são paulo,são paulo,-1,5,1,0,6,1,1,3,5,7,-2,0,1,4,-1
portuguesa,2008,5,internacional,portuguesa,1,3,1,0,6,1,1,3,10,12,-2,1,0,1,-5
vasco,2008,5,cruzeiro,cruzeiro,-1,1,0,0,5,1,2,2,6,5,1,0,1,-1,-5
coritiba,2008,5,botafogo-rj,botafogo-rj,-1,2,1,0,5,1,2,2,6,6,0,0,1,5,-4
ipatinga,2008,5,náutico,-,1,0,0,0,5,1,2,2,3,6,-3,0,0,-1,1
figueirense,2008,5,flamengo,flamengo,-1,5,0,0,5,1,2,2,7,15,-8,0,1,-3,-1
internacional,2008,5,portuguesa,portuguesa,-1,3,1,0,4,1,3,1,5,8,-3,0,1,5,-4
santos,2008,5,vitória,vitória,-1,1,0,0,4,1,3,1,5,8,-3,0,1,-3,-1
goiás,2008,5,athlético-pr,athlético-pr,-1,5,0,0,3,0,2,3,3,9,-6,0,1,-2,-3
fluminense,2008,5,grêmio,grêmio,-1,2,1,0,1,0,4,1,2,7,-5,0,4,1,-4
flamengo,2008,6,são paulo,são paulo,1,2,4,0,13,4,1,1,13,6,7,0,1,4,-1
grêmio,2008,6,goiás,grêmio,-1,0,3,0,13,4,1,1,9,3,6,2,0,4,-1
cruzeiro,2008,6,palmeiras,palmeiras,-1,5,2,0,13,4,1,1,11,6,5,0,1,6,-1
náutico,2008,6,vasco,-,1,1,1,0,11,3,1,2,8,4,4,0,0,1,-1
palmeiras,2008,6,cruzeiro,palmeiras,1,5,2,0,10,3,2,1,9,8,1,1,0,1,-2
são paulo,2008,6,flamengo,são paulo,-1,2,4,0,9,2,1,3,11,6,5,2,0,2,-4
atlético-mg,2008,6,ipatinga,atlético-mg,1,4,2,0,9,2,1,3,9,9,0,1,0,5,-2
portuguesa,2008,6,athlético-pr,portuguesa,1,1,0,0,9,2,1,3,11,12,-1,2,0,2,1
athlético-pr,2008,6,portuguesa,portuguesa,-1,1,0,0,8,2,2,2,8,4,4,0,1,-1,-1
vitória,2008,6,coritiba,-,-1,0,0,0,8,2,2,2,5,4,1,0,0,-1,1
sport,2008,6,figueirense,figueirense,-1,3,1,0,8,2,2,2,6,7,-1,0,1,4,-1
figueirense,2008,6,sport,figueirense,1,3,1,0,8,2,2,2,10,16,-6,1,0,1,-2
botafogo-rj,2008,6,internacional,internacional,-1,2,1,0,7,2,3,1,6,8,-2,0,1,2,-5
internacional,2008,6,botafogo-rj,internacional,1,2,1,0,7,2,3,1,7,9,-2,1,0,6,-5
vasco,2008,6,náutico,-,-1,1,1,0,6,1,2,3,7,6,1,0,0,1,-6
coritiba,2008,6,vitória,-,1,0,0,0,6,1,2,3,6,6,0,0,0,-1,1
santos,2008,6,fluminense,-,-1,1,1,0,5,1,3,2,6,9,-3,0,0,1,-2
